candidate_uid,platform_vendor_id,cohort_id,cohort_seller_uid,item_uid,source_dataset,source_record_index,source_csv_line_number_end,source_sequence,transaction_id,title,category,description,item_record_sha256,manifest_row_sha256
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,A,products_data.csv|identity_control|seller_id:70239|cohort:A,products_data.csv|record:1853|sha256:65dae82575b443512d99,products_data.csv,1853,1854,269,37638,中国古代烹饪食谱方法PK可开古代风味儿饭店,教程与文档,1，还没吃惯可乐鸡翅？宫保鸡丁？西餐牛排? 呵呵，食物的本来味道不应该如此单调，就像中草药一样，在我们现在人眼里好像只剩下六味地黄丸一样的壮阳功效了。中华上下五千年，不想尝一尝和珅，乾隆，朱元璋，刘邦········，等等等等古代豪杰官宦的饮食味道？味道先不说肯定神奇，还有壮阳养生的食疗作用。  2，没有疫情之前，街边各种街头加盟小吃，也有火得一塌糊涂的，其实好多配方都是瞎鸡巴弄，都是在卖概念，卖噱头。疫情之后，一下子打回了本来面目，这就需要新概念和卖点了。都在说疫情之后能干点什么呢？呵呵，你不仅可以自己做来吃，也可以开个古代饭店啊！弄好了，弄弄加盟，钱就到手了。再有钱的老哥，可以旁边开家古代客栈，或者上下楼，那就有意思了。  3，废话不多说了，各位老哥自己考虑，总共如图33本，大概150M大小。拍下自动显示MEGA下载链接，安全保密，翻墙后谷歌浏览器打开下载，得货也请主动放币，谢谢。,65dae82575b443512d9930b3e049d30795cc8ce56486da595c7020847b543279,f370d49b59cbb980aa20459572c96e269f2da6bf51406c3d9d530434fd7572d7
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,B,products_data.csv|identity_control|seller_id:70239|cohort:B,products_data.csv|record:731|sha256:a299f86698c7947ac690,products_data.csv,731,732,236,39004,新型信用卡诈骗技术,技术服务[非教程],1，疫情之后好多行业都面目全非，部分黑产也是的，到处充满了收割与套路，不过俗话说；乱世出英雄。今天就出一个盛世乱世都适合的黑产套路；信用卡诈骗。这个信用卡诈骗可不是你自己的卡不还银行了。其实银行哪有那么好诈骗，除非你盗刷。本质上还是诈骗别人，并且快速抽离，没有痕迹，无惧各城市摄像头，所以各城市各县城都可以做。其实套路并不复杂，但他妈的就是超级好用。俩人就可以操作。一个人做不了，最少俩人。如果你有个靠谱的兄弟，那就可以干了。  2，本技术适合想赚快钱的，起码胆子有，如果是没坑蒙拐骗过的纯小白不建议从事，虽然全程操作并无惊险，而且做过一次你就会爱上这种征服掌控的感觉，但记得适时停手，否则时间久了什么都会湿鞋。  3，技术内容包括；需要几个人，需要什么工具，用品，以及用到什么网络账号啦，诈骗什么类型的人，怎么聊的话术，怎么接人，怎么安排，怎么实施，怎么收款，怎么撤离等等及各种注意事项。  4，即便你不干，也可以学学防止被骗，这社会不是说你有钱会被骗，可怕的是你没钱别人也有办法让你欠钱，东南亚种菠菜不就这样嘛。人啊，多学多看不是坏事，不用舍不得这几美元，你学到了可以避免被骗几千美元，也可以骗别人几万美元，这世界就是这么奇幻和相辅相成。  5，拍下自动显示MEGA链接，安全保密，翻墙状态下谷歌浏览器打开下载即可。得文件也请及时放币，谢谢。,a299f86698c7947ac6900d9f86eafc1e81b970b29b1d24ba31b11191de17f2b7,7ca86317eb3739b19f0715f84dbdedd0b3dc75f2b30aded65e6bcc10cbe1966b
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,B,products_data.csv|identity_control|seller_id:70239|cohort:B,products_data.csv|record:1654|sha256:fb9184645287b8a7bd69,products_data.csv,1654,1655,60,31473,中港台娱乐圈黑料400多页PDF版,教程与文档,1，这是一个百年不遇的春节，怪就怪中共这个婊子放毒让老哥们只能在家闲到蛋疼，不过也是个不错的事情，让各位得以有时间思考黑产灰产，等疫情稳定，再重炮上路！这期间特奉上一份娱乐圈黑料秘闻，涉及港澳台，老中青，相当真实，由内部人员爆料了大半个娱乐圈明星的各种事情，各种出轨滥交，简直过瘾。  2，看了这些黑料，再看台上的她们是多么的骚贱，果然老话说得好，戏子就是用来操的，然后还得做了婊子立牌坊。  3，杨幂，阿娇，许晴这些个小婊砸，真的爽。总共400多页，PDF文字黑，有彩色小插图。  4，拍下自动显示MEGA链接，翻墙后谷歌浏览器打开即可下载。,fb9184645287b8a7bd69fa9b10b2c92565b47bf50f2df6971c90c60af14c6847,d1bf5d6caf1cb14dbf3111f05da97b5d5661b93166f265e3998b77e899512a04
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,B,products_data.csv|identity_control|seller_id:70239|cohort:B,products_data.csv|record:1770|sha256:801a68e3eaad11c0268d,products_data.csv,1770,1771,186,38513,中国国家安全局国安培训教材,教程与文档,1，不要以为公安能管一切，公安只是管有关老百姓正常社会生活中鸡毛蒜皮的治安小事和杀人强奸等刑事犯罪。虽然有经侦，维稳等作用，虽然好多职能是与国安，也就是国保重叠的，但也有好多领域是公安没法插手的。随着社会发展，中共政权越来越不稳，国安的作用和出镜率越来越大越来越多。  2，国安的技术也高于公安，像反党，法轮功，做暗网黑产买枪买毒买卖数据，涉外言论，良心犯，律师犯，或者有境外亲人朋友，供职于外资，来往境内外频繁的人，政治犯等等领域，国安的存在与监控是先于和多于公安的，总之一句话，公安管的了的，国安管，公安管不了的，国安也管。像极了明朝的东厂西厂。具体内容如图，自己理解，我是建议相关有需要有悟性有反侦查意识的老哥学习了解，更好保护自身。  3，拍下自动显示MEGA 链接，安全保密，翻墙状态下谷歌浏览器打开即可下载。,801a68e3eaad11c0268d519bce19d00cccf9b1c19284732f06c34cf648ed1812,1002fa679994dcb564fbd31e13e7afdc054f4ea601812dd1b1fc35bc03543416
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,B,products_data.csv|identity_control|seller_id:70239|cohort:B,products_data.csv|record:1807|sha256:ee289188ccde9e8bf27c,products_data.csv,1807,1808,223,29798,适合爱cao女人的老哥的禽兽套路教程,教程与文档,"1，本贴出售一个关于对女人的既能偷窥又能赚钱，既能啪啪又能日后发小财的套路。没准还能顺便找个炮友，性奴，或者老婆。当然了，对男人也有效，那就只剩赚钱了，除非你是同志。  2，套路分为A,B,C 三个方向。共20步的超详细步骤，投入成本，利润点与利润比，注意事项都有说明。总之整个套路，很完整。  3，世间万物都是相关的，项目也从来不是孤立的，你学会了本项目，可拓展延伸你的黑产逻辑思路。  4，套路最低启动资金约为5000，依据城市不同，成本与利润不同。可立马上手，能接受成本的再买。  5，纯技术性教学资料，概不退款，只卖33份，每省市区平均一份。保证你的经销操作区域权益，呵呵，这个就有点扯淡了，开个玩笑。不过呢，项目独有性才能保证利润性和操作空间性。  6，拍下自动显示MEGA链接，翻墙后谷歌浏览器打开，链接不会打不开，禁止居心不良不认账的没契约精神的人购买，恶心。项目套路下载到你手即交易完成。还请及时结算放币，谢谢！",ee289188ccde9e8bf27cf4815a53e5c523a873d7d3475b6bfc591851b8130b52,ee9b95259894052bf2e638cd946216349d527ce25251abaff9531565d621ad2d
v8_identity_control_component_closure_1e2a651ee5138f044b464a5c,642912,A,products_data.csv|identity_control|seller_id:642912|cohort:A,products_data.csv|record:588|sha256:bad3240df4e64e270040,products_data.csv,588,589,91,43223,催情香水配方起效快成本低女用催情神器购买赠送监控摄像头资源,技术服务[非教程],加密网盘自动发货 购买后自动发送资源链接 文件无加密 购买即可使用！！！  低成本制作 快速出货 诱导做爱 女用催情  女生喝了之后脸上发红，心跳加快，不自觉的特别渴望异性的亲热，下面发痒，双腿会自己摩擦，特别想要，也很听话，叫她做什么也很配合，问隐私也会回答，可用来打探女朋友老婆的秘密，有无出轨等，稍加挑逗今晚她就是你的人。  提示：  1、为了保存期限，必须用深色压瓶 2、建议用铁盒附密码锁收起(千万不要给家人闻到，家人闻到一样会产生反应，除非你要搞乱伦，否则真的不建议……)  购买24小时内放款即赠：100+监控摄像头资源含链接及账号密码在线观看  注意：以下方式理由进行退款的一概不受理，望周知！ 1：这个东西我有了啊，我已经看过了。 2：不想要了，看不懂。 3：提供问题答疑，让我本人教你那是不行的。 4：如果你在暗网买了其他东西可以私信我，我们可以互相交换，让你免费获得此配方  链接如有失效底部留言回复  本人其他作品：  上帝之眼监控摄像头破解日扫几十万可导入外部ip实时打开监控_编号：43137 烟雾弹、汽油弹、燃烧弹、手雷、棉质TNT制作_编号：43221 蒙汗药配方低价出售以及解药赠送强奸迷奸系列视频_编号：43219 网络摄像头入侵赠送FBI国安级匿名tor暗网反追踪系统_编号：43220,bad3240df4e64e270040f2d80d01b1fcddfe2e1424844674301b7f9d6129b91c,7cc9299a015bc2854b20b81b828fe5c5ef7e0fafa2ce3820221e71e4d254e488
v8_identity_control_component_closure_1e2a651ee5138f044b464a5c,642912,A,products_data.csv|identity_control|seller_id:642912|cohort:A,products_data.csv|record:1848|sha256:cc6c8cc10b869ddb7331,products_data.csv,1848,1849,264,43240,3000多万条开房记录姓名电话家庭住址邮箱含开房信息查询工具,教程与文档,加密网盘自动发货 购买后自动发送链接 文件无加密 购买即可使用！！！  在里边姓名，身份证号，电话，家庭住址，电子邮件都能查到  购买即赠：开房信息查询工具  购买24小时内放款再赠：100+监控摄像头资源含链接及账号密码  本人其他作品：  上帝之眼监控摄像头破解日扫几十万可导入外部ip实时打开监控_编号：43137 烟雾弹、汽油弹、燃烧弹、手雷、棉质TNT制作_编号：43221 蒙汗药配方低价出售以及解药赠送强奸迷奸系列视频_编号：43219 网络摄像头入侵赠送FBI国安级匿名tor暗网反追踪系统_编号：43220 全球发货出售各类制式手抢带50发子弹_编号：43237 精钢警用手铐制式独立编号_编号：43239,cc6c8cc10b869ddb733111e53a366c79ceb49a1919a974721f9cc36a811a6759,0c93a45140ea465472fdc24d44dae8d2f72c8a6d810ac189c7bd6784fcfa7682
v8_identity_control_component_closure_1e2a651ee5138f044b464a5c,642912,A,products_data.csv|identity_control|seller_id:642912|cohort:A,products_data.csv|record:1962|sha256:b5cedeea2bae3ad151c4,products_data.csv,1962,1963,80,43239,精钢警用手铐制式独立编号,实体发货商品,警用手铐，带独立编号。一套包含手铐一副，钥匙2枚，手铐收纳套一个。  另有各种警用武器，小到警棍喷雾，大到枪支弹药，全部出自gong，an局，货不多，详情咨询。  先放款后发货 留言回复收件地址   本人其他作品：  上帝之眼监控摄像头破解日扫几十万可导入外部ip实时打开监控_编号：43137 烟雾弹、汽油弹、燃烧弹、手雷、棉质TNT制作_编号：43221 蒙汗药配方低价出售以及解药赠送强奸迷奸系列视频_编号：43219 网络摄像头入侵赠送FBI国安级匿名tor暗网反追踪系统_编号：43220 全球发货出售各类制式手抢带50发子弹_编号：43237,b5cedeea2bae3ad151c45b230c22cf22fd50f2a2a06cee563af48de1017c18ab,14c999a3764fad090d8028181fb0bc85bd4c80332fc228810ff38660c36b15a0
v8_identity_control_component_closure_1e2a651ee5138f044b464a5c,642912,B,products_data.csv|identity_control|seller_id:642912|cohort:B,products_data.csv|record:732|sha256:a7f5041fe9f13323c54f,products_data.csv,732,733,237,43221,烟雾弹汽油弹燃烧弹手雷棉质TNT制作,技术服务[非教程],加密网盘自动发货 购买后自动发送资源链接 文件无加密 购买即可使用！！！  香港暴徒就是使用这种方法制作的燃烧瓶。至于闪光弹和烟雾弹也是很安全的，手榴弹的爆炸强度相当于现代步兵手雷的威力，你可以把配方卖给明网的人或者其他网站，通过这个方法中间商赚差价，如果你是个恐怖分子就当我没说  购买24小时内放款即赠：蒙汗药制作配方以及解药（低成本制作）  注意：以下方式理由进行退款的一概不受理，望周知！ 1：这个东西我有了啊，我已经看过了。 2：不想要了，看不懂。 3：提供问题答疑，让我本人教你那是不行的。 4：如果你在暗网买了其他东西可以私信我，我们可以互相交换，让你免费获得此配方  链接如有失效底部留言回复  本人其他作品：  上帝之眼监控摄像头破解日扫几十万可导入外部ip实时打开监控_编号：43137,a7f5041fe9f13323c54f2682c438f6da3d79e520aa0cd89b59a29b4e4b48b484,d11244c8540fbd74d43cc34bb121773a87769c4593e45324cce22b72b6025a8f
v8_identity_control_component_closure_1e2a651ee5138f044b464a5c,642912,B,products_data.csv|identity_control|seller_id:642912|cohort:B,products_data.csv|record:1237|sha256:10395033da55c306c94d,products_data.csv,1237,1238,143,43137,上帝之眼监控摄像头破解日扫几十万可导入外部ip实时打开监控,虚拟物品,"加密网盘自动发货 购买后自动发送链接 文件无加密 购买即可使用！！！  购买即赠：IP批量扫+路由器终结者+另外三款扫描破解摄像头工具  购买24小时内放款再赠：100+监控摄像头资源含链接及账号密码  1、支持端口修改扫描 2、部分含破解教程 3、内置视频插件 4、含广泛弱密码 5、高速线程扫描  商家一般情况下 每天都会上线 看到就会发送买家监控摄像头资源  注意：以下方式理由进行退款的一概不受理，望周知！ 1：这个东西我有了啊，我已经看过了。 2：不想要了，看不懂。 3：提供问题答疑，让我本人教你那是不行的。  已上传实测效果图 买家不明白可先留言 由于虚拟资源的可复制性, 拍下后概不退货! 赠送资源属于赠送系列不含购买，工具间可配合使用。屌丝投诉到底！  链接如有失效底部留言回复  给纯小白的一个教程：  先添加开始ip 如：58.64.0.0 结束ip：58.64.255.255 不能超过255  扫描线程可设置到500 扫描端口一般为81 文件以含大量弱密码可直接操作",10395033da55c306c94d87dabe77bfc114d98d2c51044de91a2d89a5153f22df,3a78714e10bcf70952eccf0a895046bede8cb22bbaee800ac8e85d67d518942e
v8_identity_control_component_closure_21acf50d0417e33838b15203,603681,A,products_data.csv|identity_control|seller_id:603681|cohort:A,products_data.csv|record:669|sha256:8fddb4491af1c045a1e5,products_data.csv,669,670,173,44106,老司机救急修车陌陌快速寻芳技术,技术服务[非教程],技术解决的痛点：  很多司机在长夜漫漫的晚上突然想找个女生一起激情一下，而现在大多数人时间宝贵，对约炮来说没有太多的精力，很多新手司机也在修车过程中苦于不知该如何下手，怕受骗，怕仙人跳，本方法主攻救急修车，安全快速寻找你当地的修车资源。  本产品的内容：  本方法为一段6分多钟的视频，内容是以陌陌为载体，来演示如何快速找到你当地的修车资源，时间不长，满满的干货。  虚拟产品，售出不以任何理由退货。请谨慎拍下。  拍下自动MEGA网盘发货。,8fddb4491af1c045a1e567ea9b97abeff134c67b4ae9a6a7512ae16e871d244b,57983186c1be6c4dd94ff2931cfc19c8d02230fa4f9e1c6d930bf1982a96ebfb
v8_identity_control_component_closure_21acf50d0417e33838b15203,603681,A,products_data.csv|identity_control|seller_id:603681|cohort:A,products_data.csv|record:1765|sha256:342574da1da798fbcdb3,products_data.csv,1765,1766,181,43335,本站商品交易避坑指南,教程与文档,"本人一直是本站的长期买家，早在2018年就是本站前身暗网交易论坛的用户，买到过各种商品，也踩到过不少坑，碰到过很多雷，其实碰到不靠谱的卖家，并不担心他骗钱，只是怕可能货不对版，或者买了以后卖家长期不发货也没解释或扯皮，有了纠纷，导致长期的占用你的比特币资金而得不到退款，我会把自己买过的商品，以及其编号，交易记录，乃至自己的评价写到指南里，本指南会随着我新买的商品而随时更新，全部是针对本站产品的视频解说，个人观点，仅供参考。 贴出目前我买过的部分商品目录有 卖家569648 交易编号40301 商品名称：韩国N号房市面上最新最全37G由本人收集整理值得收藏 卖家75066 交易编号24800 商品名称：已测试整理好！微商营销神器全套，含电脑和APP版 卖家50374 交易编号43167 商品名称：福利免费社工库机器人 卖家634642交易编号42849商品名称：QQ查绑定手机号短信轰炸强制聊天 卖家644112交易编号43125商品名称：国外工厂直销国内正品香烟 卖家16199 交易编号31219商品名称：最新干货教程：2019最新各种引流吸粉套路玩法 卖家499135交易编号38699商品名称：2020最新视频换脸软件教程自媒体抖音快手自动发货 卖家账号6364交易编号35807商品名称：低价出售NORDVPN 卖家562789交易编号39668商品名称：偷拍设备电子手环 卖家550719交易编号39327商品名称：手机改号平台单价详细教程附工具 卖家70239交易编号29798商品名称：适合爱CAO女人的老哥的禽兽套路教程 卖家548730交易编号37139商品名称：自媒体社群营销全套教程附带社群工具 卖家555333交易编号38270商品名称：微信公众号虚拟项目长期稳定 卖家66960交易编号31719商品名称：新型组织卖淫详细教程（原创首发） 卖家14820交易编号37425商品名称：微利出售各种香烟中华160一条 卖家399483交易编号26581商品名称：一个只花房费睡女大学生的方法  因为是商品解说录制的视频，所以用MEGA网盘发货，本产品不支持各种理由退款，请慎重拍下。产品解说会随着我买的新商品一直更新,价格也会随着视频的增多而增长，所以越早买越合适，请知悉。 另外因为目录不全，如果你有想买的本站商品可以先问问我，我会尽量回复，基本天天登录。",342574da1da798fbcdb3a5539c597453b35e02b5f9ee3bf2b6784709564e335c,69a63ee7d8829908999f87c49b203f3ffcc4abc643224fa81cc066e3fa08fd18
v8_identity_control_component_closure_21acf50d0417e33838b15203,603681,B,products_data.csv|identity_control|seller_id:603681|cohort:B,products_data.csv|record:1712|sha256:6d4c59a66852ece29380,products_data.csv,1712,1713,128,41733,没钱就没性生活屌丝约炮女学生完全手册,教程与文档,大家好 发布这个方法的初衷是我在本站买了一个“只花房费睡女大学生”的技术贴，本来想着都是同行，看看别人是怎么约妞的，结果购买后发现完全是一个哗众取宠的产品，完全没有实际操作的可能性，就是用唱双簧介绍卖淫来吸引大学生，寥寥几百字，介绍的完全没细节，甚至还说先给真钱然后用假币或者练功券去换回来，这报警一抓你一个准，还说去买假身份证开房 ，难道不知道现在宾馆入住全部面部采样拍照，有点非法行为直接就能找到你，现在骗钱都这么低端了吗？  出于气愤，我把自己实操过的约女大学生的具体方法发出来，方案及其具体步骤，会告诉你具体用什么平台，怎么说话术，注意事项等等严格按照具体操作约炮一次的总费用绝对不会超过300人民币，但这种不花钱玩法不适合长期使用，只建议你最多每月用一次即可，因为部分属于骗炮范畴，道德上确实不太好，但国内骗炮是不违法的，姑娘只能自认倒霉，但如果你是土豪前期不介意花点小钱，只想玩学生，这方法绝对可以长期使用，连骗炮都算不上，而且全都是货真价实的女学生。  备注：本方法操作简单，目标只针对在校大学生，使用社交软件，经我实际操作经验总结得出⁬，虚拟物品，经验之谈，售价本来就不高，售出不以任何理由退款，请考虑好了再拍。由于文字过多mega发货,6d4c59a66852ece293807c4f6209e515f65ab60741d37b1e2d03766c79b77a3b,91c2afd6762ce00f0173693c483d9efba963db5ae6576ac2b207a815854071ae
