blind_id,split_name,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,alias_normalized_left,alias_normalized_right,alias_relation,item_count_left,item_count_right,shared_contact_count,shared_contact_types,shared_contact_values,shared_pgp_fingerprint_count,shared_pgp_fingerprint_values,pgp_alias_hit_count_left,pgp_alias_hit_count_right,shared_title_count,shared_title_values,shared_description_count,shared_description_values,shared_category_count,shared_category_values,left_preview,right_preview,raw_contact_occurrences_json,component_candidate_path_json,reviewer_a_decision,reviewer_a_rationale,reviewer_b_decision,reviewer_b_rationale,adjudicated_decision,adjudicator_id,adjudication_rationale
blind_a79e6b068d6c0f585794,test,茶马古道,茶马古道,/shop/448586,/shop/449500,/shop/448586,/shop/449500,different_alias,1,1,0,,,0,,0,0,0,,0,,0,,T: 正版营业执照白纸开户空白纸 || 正版营业执照白纸开户空白纸 | D: 现货出售:开户底纹纸，营业底纹纸 100张起批 营业执照正本：拍83件（100张顺丰包邮） 营业执照副本：拍60件（100张顺丰包邮） 开户纸张：拍103件（100张顺丰包邮） 拍下后留言收货地址，能接通电话的手机（别快递给打电话找不到人就可以） | C: 实物,T: wc营业执照 || wc营业执照 | D: 营业执照营业执照营业执照营业执照营业执照营业执照 | C: 虚拟,[],[],different_controller,一侧出售营业执照防伪底纹纸，另一侧是含混的虚拟商品，形态明显不同。,uncertain,"Both listings concern business-license material, but their products and wording differ and no direct identifier is exposed; evidence is too weak for either identity conclusion.",different_controller,independent_adjudicator_c,One side sells security paper while the other is a vague virtual license item. Product form and wording differ.
blind_b9c0a139f9a116d3e5c0,test,茶马古道,茶马古道,/shop/453789,/shop/463206,/shop/453789,/shop/463206,different_alias,5,1,0,,,0,,0,0,0,,0,,1,虚拟,T: 新手推荐！！！暗网常用网址导航大全 || 新手推荐！！！暗网常用网址导航大全 | D: 满足你的各种需要，收集了各大常用网站，总有你需要的，亲测能打开能用，虚拟商品具有可复制性，售出不以任何理由退款 | C: 虚拟 || 服务,T: 暗网网址大全 || 暗网网址大全 | D: 2021最新暗网网址大全 | C: 虚拟,[],[],different_controller,仅共享虚拟类别和暗网导航主题，标题与描述均不同，主题相似不足以支持同控制。,soft_same_controller,"No direct identifier is closed. '新手推荐！！！暗网常用网址导航大全' and '暗网网址大全' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,Only the generic dark-web directory topic overlaps. Titles and descriptions differ and do not support shared control.
blind_e21be68482e287adff53,test,茶马古道,茶马古道,/shop/437655,/shop/466869,/shop/437655,/shop/466869,different_alias,2,1,0,,,0,,0,0,0,,0,,1,数据,T: 长期收购一手高中生，大学生带家长数据，不是一手的勿扰，倒江湖的，骗子一边去，加蝙蝠4632722 || 大量收购全网高价各地初中，高中，大学家长数据，留学生，乡村干部，医院数据，加蝙蝠联系4632722 | D: 长期收购一手高中生，大学生带家长数据，不是一手的勿扰，倒江湖的，骗子一边去，加蝙蝠4632722 | C: 数据,T: 求购国内学生家长数据，不是一手的别来 || 求购国内学生家长数据，不是一手的别来 | D: 求购一手在读学生家长数据，不是一手的别来 | C: 数据,[],[],different_controller,两侧都求购学生家长数据，但属于行业通用需求，且只有一侧有独立蝙蝠号。,soft_same_controller,"No direct identifier is closed. '长期收购一手高中生，大学生带家长数据，不是一手的勿扰，倒江湖的，骗子一边去，加蝙蝠4632722' and '求购国内学生家长数据，不是一手的别来' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,Only a common student-parent procurement topic and generic wording overlap. The Bat identifier occurs on the left only.
blind_ee0a6897bb835fb807cd,test,茶马古道,茶马古道,/shop/461297,/shop/8466,/shop/461297,/shop/8466,different_alias,3,1,0,,,0,,0,0,0,,0,,1,数据,T: 白菜价2021最新过人脸识别人面识别扫脸软件+脚本+视频教程 自动发货 || 微博5.38亿绑定数据【自动发货】白菜价～ | D: 5.38亿微博用户绑定数据，个人资料，手机号等等相关信息，白菜价 | C: 数据 || 技术,T: 卖唯一真的5亿微博用户绑定手机号数据其中接近2亿有账号基本信息 || 卖唯一真的5亿微博用户绑定手机号数据其中接近2亿有账号基本信息 | D: 绑定手机号的测试： https://anonfile.com/p900h3kfo7/phone-id_txt 微博账号基本信息测试数据： https://anonfile.com/na04h6k9o5/info_txt 微博.jpg: https://anonfile.com/Zb90tdk1o8/_jpg 付款... | C: 数据,[],[],different_controller,两侧都销售公开流传的微博数据，但无共享文案或身份标识，数据源相同即可解释。,soft_same_controller,"No direct identifier is closed. '白菜价2021最新过人脸识别人面识别扫脸软件+脚本+视频教程 自动发货' and '卖唯一真的5亿微博用户绑定手机号数据其中接近2亿有账号基本信息' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,"Both sell a widely circulated Weibo dataset, but no identity or copied wording is shared. Common inventory is sufficient explanation."
blind_efb675683fdec4ea3efd,test,中文暗网交易市场,中文暗网交易市场,526222,565793,526222,565793,different_alias,1,6,0,,,0,,0,0,0,,1,广东省 达达快递，收件人数据。 数据量148000条，去重复了 时间最近几个月的， 数据样式：收件人姓名，手机，收件地址，日期 自动发送文件,1,数据资源,T: 广东达达快递收件人数据148000条 || 广东达达快递收件人数据148000条 | D: 数据量148000条，去重复了 时间最近几个月的， 数据样式：收件人姓名，手机，收件地址，日期 自动发送文件 | C: 数据资源,T: 查档_开房_查所有_侦探_人肉_高级贴_14小时在线 || 24小时稳定查询业务 | D: 价格上下浮动我会在价格上调整 【个人基本信息类】 个人户籍-提供身份证号码-(拍1份) 全家户籍-提供身份证号码- 模糊查询-提供大概年龄+地区+名字-(拍5份) 犯罪记录-提供身份证号码-(拍4份) 网逃记录-提供身份证号码-(拍3份) 学信网学籍-提供身份证号码-(拍8份) 名下资产-提供身份证号码-(拍10... | C: 服务业务 || 数据资源,[],[],different_controller,左侧出售快递数据，右侧提供查询服务，仅类别有交集。,soft_same_controller,"Exact overlap (T=0, D=1) includes '广东省 达达快递，收件人数据。 数据量148000条，去重复了 时间最近几个月的， 数据样式：收件人姓名，手机，收件地址，日期 自动发送文件'; no direct seller identifier closes the pair, so template/product reuse remains plausible.",soft_same_controller,independent_adjudicator_c,"The same specific Dada courier dataset description occurs on both sides, giving strong clone evidence without direct identity closure."
blind_f41577a48d39fd22fa1f,valid,中文暗网交易市场,茶马古道,512254,/shop/398615,512254,/shop/398615,different_alias,1,1,0,,,0,,0,0,0,,0,,0,,T: 新到10W留学生数据 || 新到10W留学生数据 | D: 新到10W留学生数据 拍下发自动5万 确认再发5万 | C: 数据资源,T: 新的在校留学生数据 || 新的在校留学生数据 | D: 在国外在校留学生的数据 | C: 数据,[],[],different_controller,两侧仅都出售留学生数据，标题、数量和说明均不足以形成强克隆。,uncertain,"Both listings concern recent overseas-student data, but there is no direct identifier or exact clone evidence sufficient to distinguish common inventory from shared control.",uncertain,independent_adjudicator_c,"Both offer recent overseas-student data, but no identifier or distinctive clone separates common inventory from shared control."
blind_f47ab2adb5639e12b380,test,茶马古道,茶马古道,/shop/421728,/shop/434089,/shop/421728,/shop/434089,different_alias,5,1,1,telegram,telegram:xing5858,0,,0,0,0,,0,,1,数据,T: 一手后台实时WD下款 还款 申请 注册 可验证 来老板包台 || 一手后台实时WD下款 还款 申请 注册 可验证 来老板包台 | D: 有没有金主来包台子，实时下款，还款，注册，申请，一手后台可以验证（三小时提取一次），内部丢出的通道，要的速度联系我也只是替人办事，带着你的实力来，别什么阿猫阿狗都跑来 | C: 担保私拍 || 数据,"T: 长期收网购数据，收快递数据，搭建钓鱼网站 || 长期收网购数据，收快递数据，搭建钓鱼网站 | D: 长期收购各种网购数据 ,你有量我有价格非中介，来有实力团队 大牛合作 ⒈收网购数据，（淘宝，京东，小红书，蘑菇街，唯品会，贝贝网 等各种网购数据）只收化妆品 母婴产品 女性产品，近三个月内一手历史或实时数据都可以 ⒉收快递实时未签收数据，快递投诉件，快递破损件 长期需要 3.找长期合作搭建钓鱼网站，其他详情飞机详... | C: 数据","[{""left_occurrences"": [{""context"": ""行者私拍300条申通问题,TG@xing5858,发货确认,一旦拍下不接受退款申诉!"", ""description_snippet"": ""行者私拍300条申通问题，TG@xing5858，发货确认，一旦拍下不接受退款申诉！"", ""raw_value"": ""xing5858"", ""source_field"": ""description"", ""title_snippet"": ""实时申通快递料，发货确认收货 行者私拍""}], ""right_occurrences"": [{""context"": ""递实时未签收数据,快递投诉件,快递破损件 长期需要 3.找长期合作搭建钓鱼网站,其他详情飞机详谈 能接受免费测试的来,先款的就别谈了 可暗网担保交易 有合作项目可TG联系 TG:@xing5858"", ""description_snippet"": ""长期收购各种网购数据 ,你有量我有价格非中介，来有实力团队 大牛合作 ⒈收网购数据，（淘宝，京东，小红书，蘑菇街，唯品会，贝贝网 等各种网购数据）只收化妆品 母婴产品 女性产品，近三个月内一手历史或实时数据都可以 ⒉收快递实时未签收数据，快递投诉件，快递破损件 长期需要 3.找长期合作搭建钓鱼网站，其他详情飞机详谈 能接受免费测试的来，先款的就别谈了 可暗网担保交易 有合作项目可TG联系 TG：@xing5858"", ""raw_value"": ""xing5858"", ""source_field"": ""description"", ""title_snippet"": ""长期收网购数据，收快递数据，搭建钓鱼网站""}], ""token"": ""telegram:xing5858""}]",[],uncertain,xing5858 在右侧是卖家联系方式，在左侧只出现在私拍交付语境，可能是交易对手而非左侧控制者。,strict_same_controller,"Raw contexts on both sides use telegram:xing5858 as a seller contact/call-to-action; it is not customer data, a public URL, or marketplace support.",uncertain,independent_adjudicator_c,xing5858 is a clear contact on the right but appears in a private-sale delivery context on the left and may denote the counterparty.
blind_f6c36e64a2f41fc68600,valid,茶马古道,茶马古道,/shop/406792,/shop/433442,/shop/406792,/shop/433442,different_alias,1,5,0,,,0,,0,0,0,,1,优点是获取的都是最近登录的访客，而不是几个月前甚至几年前的用户，时效性高，适宜电销运控,1,数据,T: ★★★★★【 运营商数据 】★★★★★ 移动联通电信三网指定抓取 || ★★★★★【 运营商数据 】★★★★★ 移动联通电信三网指定抓取 | D: 移动联通电信三网运营商大数据指定网站、app访客手机获取： 获取指定网站访客、app登录访客手机号码 | C: 数据,T: 每日更新火币网OKEx中币网等虚拟币交易平运营商数据 || 六合彩 彩票 时时彩一手抓取数据 | D: （数据来源电销平台后台数据，客户筛1分钟以上，一分半以上或者2分钟以上，都是高精准用户，都是精选数据）每天量就两三万，懂行的老板可以来包养，联系详聊 | C: 数据,[],[],different_controller,两侧都涉及运营商数据，但一个按指定站点抓取，一个出售行业名单，文本和身份不一致。,soft_same_controller,"Exact overlap (T=0, D=1) includes '优点是获取的都是最近登录的访客，而不是几个月前甚至几年前的用户，时效性高，适宜电销运控'; no direct seller identifier closes the pair, so template/product reuse remains plausible.",soft_same_controller,independent_adjudicator_c,"A long and specific operator-visitor recency sentence is exactly shared, providing strong clone evidence but no direct identity closure."
blind_fd1e5249aa10a01ab81b,test,茶马古道,茶马古道,/shop/440178,/shop/441616,/shop/440178,/shop/441616,different_alias,4,5,0,,,0,,0,0,0,,1,总体来说可玩度还是不错的，无论是暴力欲，还是单纯的想去看色情虐待的都有，甚至猎奇向的也有，例如关于实验生物的,0,,T: 各种炸药雷管燃烧弹等制作方法 || 一个网站，血腥恐怖与色情 | D: 本资料详细的教你如何利用利用生活中的东西制作各种炸药雷管定时炸弹遥控炸弹燃烧弹手榴弹等，种类齐全，步骤详细绝对不是给你提供思路模糊不清让你去做的糊弄人玩意 | C: 其它,T: 2020年-约炮软件6款-可约楼凤兼职大学生兼职白领空姐模特狼友性息资源约炮APP找桑拿会所成人直播平台黄播APP || 急需20w 除了杀人都可以做 | D: 总体来说可玩度还是不错的，无论是暴力欲，还是单纯的想去看色情虐待的都有，甚至猎奇向的也有，例如关于实验生物的 | C: 数据 || 服务,[],[],different_controller,商品主题和用途明显不同，共享描述不足以形成可解释的同控制闭合。,soft_same_controller,"Exact overlap (T=0, D=1) includes '总体来说可玩度还是不错的，无论是暴力欲，还是单纯的想去看色情虐待的都有，甚至猎奇向的也有，例如关于实验生物的'; no direct seller identifier closes the pair, so template/product reuse remains plausible.",soft_same_controller,independent_adjudicator_c,"The same long and distinctive violent-adult-site description occurs on both sides, supporting a strong text clone only."
blind_fe0bf21fa70359b13f15,test,茶马古道,茶马古道,/shop/448519,/shop/9644,/shop/448519,/shop/9644,different_alias,1,1,0,,,0,,0,0,0,,0,,1,数据,T: 长期求购网贷实时隔夜下款 ！飞机@GYFC888 ！蝙蝠 5542566 || 长期求购网贷实时隔夜下款 ！飞机@GYFC888 ！蝙蝠 5542566 | D: 长期收网贷实时隔夜下款料 提前联系飞机 @GYFC888 或者蝙蝠 5542566 | C: 数据,T: 求购网贷实时隔夜下款数据 || 求购网贷实时隔夜下款数据 | D: 求购网贷高炮实时隔夜下款数据 | C: 数据,[],[],different_controller,两侧都是网贷下款数据求购者，但文案通用且只有一侧展示独立联系方式。,soft_same_controller,"No direct identifier is closed. '长期求购网贷实时隔夜下款 ！飞机@GYFC888 ！蝙蝠 5542566' and '求购网贷实时隔夜下款数据' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,Only the loan-disbursement data procurement topic and generic wording overlap. Contacts appear on the left only.
