audit_version,audit_cluster_set_id,decision,confidence,recommended_action,rationale,unique_seller_count,scorer_appearance_count,best_scorer_token,best_family,best_source_summary,best_cluster_id,best_cluster_rank,best_graph_threshold,max_cluster_score_mean,max_edge_count,max_contact_edges,max_pgp_edges,max_identifier_edges,max_title_clone_edges,max_description_clone_edges,edge_stratum_counts,top_categories,contact_member_preview_count,seller_raw_members,appearances
codex_step11_cluster_level_audit_current_manifest,b18a7b09dd7f,partial_anchor,medium,retain_anchor_pair/core; do_not_claim_full_cluster_without_pair_level_rereview,"At least one direct identifier/contact edge exists, but the component also contains template or semantic expansion.",4,4,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_thr_0735000_c0014,14,0.735,0.882295,5,1,0,1,0,3,identifier_plus_text:4 | semantic_only:4 | semantic_structural:4 | text_clone_primary:8,四件套号卡 | 实物 | 虚拟 | 技术 | 洗车精洗 | 服务,4,/shop/410559 || /shop/413373 || /shop/427106 || /shop/427922,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320:rank14:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321:rank14:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322:rank14:thr0735000 || core_zero_shot_bge_m3:rank17:thr0483444
codex_step11_cluster_level_audit_current_manifest,11cd96190fe3,partial_anchor,medium,retain_anchor_pair/core; do_not_claim_full_cluster_without_pair_level_rereview,"At least one direct identifier/contact edge exists, but the component also contains template or semantic expansion.",3,3,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_thr_0735000_c0022,22,0.735,0.882654,3,1,0,1,1,3,identifier_plus_text:3 | text_clone_primary:6,数据 | 技术 | 其它 | 洗车精洗 | 虚拟,2,/shop/449035 || /shop/461222 || /shop/5592,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320:rank22:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321:rank22:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322:rank22:thr0735000
codex_step11_cluster_level_audit_current_manifest,2f110123e6d8,partial_anchor,medium,retain_anchor_pair/core; do_not_claim_full_cluster_without_pair_level_rereview,"At least one direct identifier/contact edge exists, but the component also contains template or semantic expansion.",3,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0034,34,0.483444,0.500811,3,1,0,1,1,0,identifier_primary:1 | semantic_only:1 | text_clone_primary:1,数据 | 技术,2,/shop/428039 || /shop/436689 || /shop/438208,core_zero_shot_bge_m3:rank34:thr0483444
codex_step11_cluster_level_audit_current_manifest,d52a2ae2245c,partial_anchor,medium,retain_anchor_pair/core; do_not_claim_full_cluster_without_pair_level_rereview,"At least one direct identifier/contact edge exists, but the component also contains template or semantic expansion.",3,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0030,30,0.47,0.842567,3,1,0,1,1,3,identifier_plus_text:3 | text_clone_primary:6,技术 | 服务 | 站内充提 | 虚拟,2,/shop/398130 || /shop/452097 || /shop/452596,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank30:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank30:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank30:thr0470000
codex_step11_cluster_level_audit_current_manifest,d8ca5cad680d,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,10,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0001,1,0.47,0.761267,18,0,0,0,0,3,semantic_only:15 | semantic_structural:30 | text_clone_primary:9,实物 | 四件套号卡 | 洗车精洗 | 服务 | 虚拟 | 实体物品,9,/shop/403489 || /shop/407049 || /shop/435963 || /shop/442431 || /shop/444654 || /shop/454420 || /shop/459141 || /shop/462494 || /shop/462498 || 593068,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank1:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank1:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank1:thr0470000
codex_step11_cluster_level_audit_current_manifest,19e35a34558c,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,7,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0006,6,0.47,0.599064,12,0,0,0,5,5,semantic_structural:21 | text_clone_primary:15,数据资源 | 数据,0,/shop/446566 || 596152 || 604722 || 605480 || 605877 || 605880 || 605886,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank6:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank6:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank6:thr0470000
codex_step11_cluster_level_audit_current_manifest,23b83582f825,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,8,3,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0002,2,0.46,0.604588,11,0,0,0,3,3,semantic_only:6 | semantic_structural:18 | text_clone_primary:9,数据资源 | 数据,0,/shop/447283 || /shop/453229 || /shop/461572 || 596057 || 596061 || 596149 || 605004 || 605180,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank2:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank2:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank2:thr0460000
codex_step11_cluster_level_audit_current_manifest,363b325fb6e7,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,7,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0007,7,0.47,0.643607,10,0,0,0,0,4,semantic_only:3 | semantic_structural:15 | text_clone_primary:12,虚拟 | 技术 | 数据 | 服务 | 四件套号卡 | 漏洞,0,/shop/406241 || /shop/431289 || /shop/438230 || /shop/440693 || /shop/441616 || /shop/444329 || /shop/448717,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank7:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank7:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank7:thr0470000
codex_step11_cluster_level_audit_current_manifest,bf75ad342515,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,7,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0005,5,0.47,0.596182,10,0,0,0,0,10,text_clone_primary:30,实体物品 | 技术技能 | 数据资源 | 虚拟物品,0,117631 || 331162 || 354172 || 375149 || 506844 || 528850 || 563186,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank5:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank5:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank5:thr0470000
codex_step11_cluster_level_audit_current_manifest,c1b00ef87322,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0006,6,0.483444,0.522445,10,0,0,0,10,0,text_clone_primary:10,数据资源 | 私人专拍,0,32635 || 550208 || 560066 || 582675 || 584654,core_zero_shot_bge_m3:rank6:thr0483444
codex_step11_cluster_level_audit_current_manifest,5e7e8ce0833a,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,4,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0009,9,0.483444,0.759397,9,0,0,0,2,9,text_clone_primary:33,虚拟 | 技术 | 数据 | 四件套号卡 | 影视色情 | 虚拟物品 | 私人专拍 | 服务业务,0,/shop/4165 || /shop/442518 || /shop/451126 || 446883 || 504187,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank12:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank12:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank12:thr0470000 || core_zero_shot_bge_m3:rank9:thr0483444
codex_step11_cluster_level_audit_current_manifest,7a7e9d365738,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0012,12,0.483444,0.491099,9,0,0,0,0,9,text_clone_primary:9,技术 | 数据 | 虚拟 | 实物 | 四件套号卡,1,/shop/394520 || /shop/396011 || /shop/416838 || /shop/422413 || /shop/455899,core_zero_shot_bge_m3:rank12:thr0483444
codex_step11_cluster_level_audit_current_manifest,99d8464c64e6,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,6,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0002,2,0.483444,0.511628,9,0,0,0,6,6,text_clone_primary:9,技术 | 数据 | 影视色情 | 虚拟 | 其它 | 数据资源 | 虚拟物品 | 技术技能,1,/shop/397312 || /shop/415595 || /shop/422565 || /shop/458140 || 319180 || 569984,core_zero_shot_bge_m3:rank2:thr0483444
codex_step11_cluster_level_audit_current_manifest,a2b5bc537d00,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,6,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0009,9,0.47,0.666736,9,0,0,0,4,4,semantic_only:3 | semantic_structural:12 | text_clone_primary:12,数据资源 | 数据,0,/shop/453229 || 596057 || 596097 || 605002 || 605666 || 606388,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank9:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank9:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank9:thr0470000
codex_step11_cluster_level_audit_current_manifest,14a48c054a8f,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,3,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_thr_0735000_c0012,12,0.735,0.875379,8,0,0,0,3,3,semantic_only:3 | semantic_structural:12 | text_clone_primary:9,数据资源 | 数据,0,/shop/453229 || 596057 || 596097 || 605002 || 606388,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320:rank12:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321:rank12:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322:rank12:thr0735000
codex_step11_cluster_level_audit_current_manifest,872f0a54aa6c,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0008,8,0.483444,0.507155,8,0,0,0,3,6,text_clone_primary:8,技术 | 数据 | 服务业务 | 数据资源 | 私人专拍 | 服务 | 影视色情 | 虚拟物品,0,/shop/396767 || /shop/411022 || /shop/412484 || 565793 || 603220,core_zero_shot_bge_m3:rank8:thr0483444
codex_step11_cluster_level_audit_current_manifest,e7daad7c221f,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,6,3,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_thr_0735000_c0008,8,0.735,0.837252,8,0,0,0,0,5,semantic_only:3 | semantic_structural:6 | text_clone_primary:15,虚拟 | 技术 | 数据 | 四件套号卡 | 服务,1,/shop/431289 || /shop/438230 || /shop/440693 || /shop/444329 || /shop/452928 || /shop/462496,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320:rank8:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321:rank8:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322:rank8:thr0735000
codex_step11_cluster_level_audit_current_manifest,4c252d232675,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0013,13,0.483444,0.489994,7,0,0,0,0,7,text_clone_primary:7,实体物品 | 技术技能 | 数据资源 | 虚拟物品,0,117631 || 331162 || 354172 || 375149 || 506844,core_zero_shot_bge_m3:rank13:thr0483444
codex_step11_cluster_level_audit_current_manifest,c22be6dcd214,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0010,10,0.483444,0.49463,7,0,0,0,1,6,semantic_structural:1 | text_clone_primary:6,影视色情 | 技术技能 | 数据资源 | 虚拟物品,0,167147 || 344175 || 65684 || 81020 || 87983,core_zero_shot_bge_m3:rank10:thr0483444
codex_step11_cluster_level_audit_current_manifest,200421fd212b,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,4,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0021,21,0.47,0.623376,6,0,0,0,1,1,semantic_only:9 | semantic_structural:6 | text_clone_primary:3,数据 | 私人专拍 | 数据资源 | 实物 | 担保私拍,0,/shop/427282 || /shop/457737 || /shop/461463 || 575508,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank21:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank21:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank21:thr0470000
codex_step11_cluster_level_audit_current_manifest,2fc59b2b8862,template_clone_not_controller,low,use_for_review_discovery_only,The cluster is dominated by clone/template evidence without a seller-specific identity anchor.,5,4,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_thr_0735000_c0010,10,0.735,0.894278,6,0,0,0,3,4,text_clone_primary:24,数据 | 虚拟 | 技术 | 服务 | 四件套号卡 | 漏洞,1,/shop/405657 || /shop/412039 || /shop/413435 || /shop/449479 || /shop/454105,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320:rank10:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321:rank10:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322:rank10:thr0735000 || core_zero_shot_bge_m3:rank7:thr0483444
