balanced_review_rank,pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,review_priority,review_status,review_label,reviewer_id,review_notes,soft_same_alias_continuity_bool,usable_for_supervision,usable_for_core_transfer,split_name,split_component_id,split_component_size,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,alias_relation,same_market_raw,candidate_rule_hits,candidate_rank_score,lexical_similarity,structural_support_score,shared_contact_count,shared_contact_values,shared_title_count,shared_title_values,shared_description_count,shared_description_values,shared_category_count,shared_category_values,shared_pgp_fingerprint_count,shared_pgp_fingerprint_values,left_preview,right_preview
155,market_item.xlsx|apollon market|seller_raw:Krocodealer1892 (100%)||market_item.xlsx|darkfox market|seller_raw:Krocodealer,en_content_train_pool,en,sockpuppet_primary,semantic_only,medium,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; alias relation prevents using this row as a clean negative.,0,0,0,uncertain_holdout,,,market_item.xlsx|apollon market|seller_raw:Krocodealer1892 (100%),market_item.xlsx|darkfox market|seller_raw:Krocodealer,apollon market,darkfox market,Krocodealer1892 (100%),Krocodealer,different_alias,false,profile_lexical_neighbor,4.706456,0.686879,0.292591,0,,0,,0,,0,,0,,"T: *Test*-> International<-0,5 g Crack -aus Kokain 84-90 % aufegekocht!!- CLONE || 10g Erstklassiges Haze, (16-21 % THC) CLONE | D: Unsere Quelle bezieht es direkt aus Kolumbien mit einem immer gleich bleibenden Reinheitsgrad von 84-90%. Die Reinheit und Qualität unseres Produktes ist uns... | C: Stimulants || Cannabis & Hashish","T: **Angebot**, Cocain 84-90%, aus Kolumbien || **Angebot**, Cocain 84-90%, aus Kolumbien | D: Unsere Quelle bezieht es direkt aus Kolumbien mit einem immer gleich bleibenden Reinheitsgrad von 84-90%. Die Reinheit und Qualitt unseres Produktes ist uns ... | C: Drugs,Stimulants,Cocaine"
157,market_item.xlsx|Lime|seller_raw:darkangel||market_item.xlsx|darkfox market|seller_raw:pure,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,positive,codex_seed_v1,shared email with exact fraud-guide title and description clone,0,1,1,valid,comp_00028,4,market_item.xlsx|Lime|seller_raw:darkangel,market_item.xlsx|darkfox market|seller_raw:pure,Lime,darkfox market,darkangel,pure,different_alias,false,shared_contact_exact|shared_description_clone|shared_title_clone,15.876886,0.0,0.438443,1,email:thebankemail@notsharingmy.info,2,CREATE AND CUSTOMIZE CHECKS EASY( WITH PICTURES + SOFTWARE) || HOW TO MAKE CPN AND ADD CREDIT + ATM skimmer,1,CREATE AND CUSTOMIZE CHECKS EASY( WITH PICTURES + SOFTWARE) CREATE AND CUSTOMIZE CHECKS EASY( WITH PICTURES + SOFTWARE) This guide will teach you how to design your checks your ...,1,"Guides & Tutorials,Fraud",0,,T: UPDATED BTC STEALER + ADDRESS GENERATOR + EXPLOITS PACK + TUTORIALS - BUY 1 GET 4 EASY MONEY - VALUE || Australian Tap & Pay FRAUD Guide *AUTO DELIVERED*INSTANT* NAB Bank | D: Australian Tap & Pay FRAUD Guide INSTANT* NAB Bank Australian Tap & Pay FRAUD Guide INSTANT* NAB Bank We have written and updated this guide ourselves. In sh... | C: Guides & Tutorials || Fraud,"T: UPDATED 2020 AMAZON + EBAY + PAYPAL COMPLETE COLLECTION - BUY 1 GET 3 - 200$ DAILY (Clone) || CREATE AND CUSTOMIZE CHECKS EASY( WITH PICTURES + SOFTWARE) | D: DUMPS+ PIN PACK TR1+TR2 PACKAGE TUTORIAL INSTANT D DUMPS+ PIN PACK TR1+TR2 PACKAGE TUTORIAL INSTANT DELIVERY 100 % Hi guys this is a full pack : 1) DUMP url ... | C: Guides & Tutorials,Other || Guides & Tutorials,Fraud"
159,market_item.xlsx|silk road 3.1|seller_raw:fluxay||market_item.xlsx|silk road 3.1|seller_raw:janmolen,en_content_train_pool,en,sockpuppet_primary,semantic_structural,medium,reviewed,negative,codex_en_source_expansion_topup_review_20260421,codex_review: negative; high similarity is caused by generic placeholder text rather than seller-specific evidence.,0,1,1,valid,comp_00167,64,market_item.xlsx|silk road 3.1|seller_raw:fluxay,market_item.xlsx|silk road 3.1|seller_raw:janmolen,silk road 3.1,silk road 3.1,fluxay,janmolen,different_alias,true,profile_lexical_neighbor|structural_support,7.75,1.0,0.875,0,,0,,0,,1,Weed,0,,T: No Item Name || No Item Name | D: No Description Specified | C: Weed,T: No Item Name || No Item Name | D: No Description Specified | C: Weed
160,market_item.xlsx|silk road 3.1|seller_raw:Counterfeitnotes||market_item.xlsx|silk road 3.1|seller_raw:Kingdope,en_content_train_pool,en,sockpuppet_primary,identifier_primary,high,reviewed,positive,codex_seed_v1,shared seller email across counterfeit-note listings,0,1,1,test,comp_00180,2,market_item.xlsx|silk road 3.1|seller_raw:Counterfeitnotes,market_item.xlsx|silk road 3.1|seller_raw:Kingdope,silk road 3.1,silk road 3.1,Counterfeitnotes,Kingdope,different_alias,true,profile_lexical_neighbor|shared_contact_exact,8.21587,0.222068,0.441731,1,email:noteman2013@yandex.com,0,,0,,2,Others || Weed,0,,"T: Uk counterfeit notes Â£5,000 for Â£200 UK bank transfers and mon || Uk counterfeit notes Â£5,000 for Â£200 UK bank transfers and mon | D: If your in need of money than these are perfect they pass uv and pen tests so are great for in the shops If you need photos email me bitcoinman2015@gmail.com... | C: Edibles || Others",T: 1k US Counterfeit notes 20s and new style 100s || 1k US Counterfeit notes 20s and new style 100s | D: Hello If your looking for counterfeit currency look no further We have amazing quality 20s and 100s Cotton fiber printed With this order youll get half in 20... | C: Others || Weed
161,market_item.xlsx|versus market|seller_raw:MickeyMouseNL||market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,en_content_train_pool,en,sockpuppet_primary,semantic_only,medium,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; alias relation prevents using this row as a clean negative.,0,0,0,uncertain_holdout,,,market_item.xlsx|versus market|seller_raw:MickeyMouseNL,market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,versus market,vice city,MickeyMouseNL,MickeyMouseNLL,different_alias,false,profile_lexical_neighbor,4.654482,0.64925,0.379491,0,,0,,0,,0,,0,,"T: Half Ounce (14gr) High Quality Crack Cocaine [90%] - Free Ship ! || 20 grams Good Turkish Heroin #3 [73%] - Free Shipping ! | D: ** Ordered before 12:30 Dutch time is shipped the same day. SHOP --------------------------------------------------------------------------------------------... | C: Opioids,Heroin || Ecstasy,MDMA",T: Half Ounce (14 grams) High Quality Crack Cocaine || 20 grams High Quality Cocaine | D: Ordered before 12:30 Dutch time is shipped the same day (no shipping Saturdays and Sundays). SHOP Visit our shop to see our other offers as well: - Pure Afgh... | C: Heroin || Cocaine
163,market_item.xlsx|Cartel|seller_raw:Godaddy1||market_item.xlsx|darkfox market|seller_raw:thecolonel,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,positive,codex_seed_v1,shared exact phone across repeated heroin and pharma listings,0,1,1,train,comp_00013,1,market_item.xlsx|Cartel|seller_raw:Godaddy1,market_item.xlsx|darkfox market|seller_raw:thecolonel,Cartel,darkfox market,Godaddy1,thecolonel,different_alias,false,profile_lexical_neighbor|shared_contact_exact|shared_title_clone|structural_support,15.874074,0.415201,0.691434,1,phone:17203347285,3,LYRICA 150mg/300mg tablets || WHITE and GREEN XANAX || METHADONE 40mg tablets,0,,3,"Drugs,Benzos || Drugs,Dissociatives,Ketamine || Drugs,Opioids,OxyCodone",0,,"T: WHITE $ BROWN HEROIN POWDER (99% purity) || WHITE $ BROWN HEROIN POWDER (99% purity) | D: 5mg and 10mgOpening 20mg and 40mgLorcet - (Hydrocodone Bitartrate/Acetaminophen) 10 mg/650 mgMidazolam 3mgMotrin 400mg and 600mgNorco - ( Hydrocodone Bitartr... | C: Drugs,Opioids || Drugs,Benzos","T: KETAMINE POWDER (99% PURITY) BEST CLASS || KETAMINE POWDER (99% PURITY) BEST CLASS | D: I am a legit, serious and trustworthy seller and i have products available for sell at good prices. For fast communication and more inquiry about orders cont... | C: Drugs,Opioids,Opium || Drugs,Benzos"
164,market_item.xlsx|versus market|seller_raw:Hunterbiden666||market_item.xlsx|vice city|seller_raw:Hunterbiden,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,high,reviewed,positive,codex_step5_en_v1,Repeated Xanax catalog and seller-specific shipping boilerplate across alias variants.,0,1,1,valid,comp_00130,2,market_item.xlsx|versus market|seller_raw:Hunterbiden666,market_item.xlsx|vice city|seller_raw:Hunterbiden,versus market,vice city,Hunterbiden666,Hunterbiden,different_alias,false,profile_lexical_neighbor|shared_description_clone|shared_title_clone,16.845476,0.836711,0.412605,0,,14,100x 2mg pressed xanax low price high quality || 250x 2mg pressed xanax low price high quality || 100x 2mg pressed xanax amazing stealth || 100x 2mg pressed xanax smackers || 100x 2mg pressed xanax great deal,1,Oregon 75241 United States I ONLY SHIP TO THE UNITED STATES AND I ONLY SHIP PRIORITY MAIL AND I DONT MAKE CUSTOM LISTINGS OR DO SPECIAL DEALS SO DONT ASK,0,,0,,"T: 500x 2mg pressed xanax low price high quality || 250x 2mg pressed xanax fast shipping | D: THEN SEALED IN NON SEE THROUGH PACKAGING AGAIN BEFORE BEING PLACED IN THE ENVELOPE ITS SHIPPED IN. VERY FAST SHIPPING. I SHIP MONDAY-FRIDAY. FORMAT FOR ADDRE... | C: Benzos,Other Benzos",T: 500x 2mg pressed xanax low price high quality || 250x 2mg pressed xanax high quality | D: THEN SEALED IN NON SEE THROUGH PACKAGING AGAIN BEFORE BEING PLACED IN THE ENVELOPE ITS SHIPPED IN. VERY FAST SHIPPING. I SHIP MONDAY-SATURDAY. ORDERS USUALLY... | C: Benzos
165,market_item.xlsx|silk road 3.1|seller_raw:fluxay||market_item.xlsx|silk road 3.1|seller_raw:johnsenasss666,en_content_train_pool,en,sockpuppet_primary,semantic_structural,medium,reviewed,negative,codex_en_source_expansion_topup_review_20260421,codex_review: negative; high similarity is caused by generic placeholder text rather than seller-specific evidence.,0,1,1,valid,comp_00167,64,market_item.xlsx|silk road 3.1|seller_raw:fluxay,market_item.xlsx|silk road 3.1|seller_raw:johnsenasss666,silk road 3.1,silk road 3.1,fluxay,johnsenasss666,different_alias,true,profile_lexical_neighbor|structural_support,7.75,1.0,0.875,0,,0,,0,,1,Weed,0,,T: No Item Name || No Item Name | D: No Description Specified | C: Weed,T: No Item Name || No Item Name | D: No Description Specified | C: Weed
166,market_item.xlsx|silk road 3.1|seller_raw:bodypartsguy||market_item.xlsx|silk road 3.1|seller_raw:gennexlabs,en_content_train_pool,en,sockpuppet_primary,identifier_primary,high,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; shared contact exists but seller-facing context or support is insufficient for a positive label.,0,0,0,uncertain_holdout,,,market_item.xlsx|silk road 3.1|seller_raw:bodypartsguy,market_item.xlsx|silk road 3.1|seller_raw:gennexlabs,silk road 3.1,silk road 3.1,bodypartsguy,gennexlabs,different_alias,true,profile_lexical_neighbor|shared_contact_exact,8.204294,0.312081,0.165904,1,email:michealwhite210@gmail.com,0,,0,,1,Others,0,,T: Human Kidney Availaible in good state || Human Kidney Availaible in good state | D: please for more info contact me via agentayuk@gmail.com or +1 (803) 271-0466 | C: Others,T: Dextromethorphan (Robitussin-DM) || Xanax | D: please for more info contact me via teddyward15@gmail.com or +1 (435) 554-8460 | C: Others || Ecstasy
167,market_item.xlsx|darkfox market|seller_raw:MickeyMouseNL||market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,en_content_train_pool,en,sockpuppet_primary,semantic_only,medium,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; alias relation prevents using this row as a clean negative.,0,0,0,uncertain_holdout,,,market_item.xlsx|darkfox market|seller_raw:MickeyMouseNL,market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,darkfox market,vice city,MickeyMouseNL,MickeyMouseNLL,different_alias,false,profile_lexical_neighbor,4.603784,0.719172,0.144376,0,,0,,0,,0,,0,,"T: 1 - 10 grams | High Quality Crack Cocaine [90%] || 0.5 gram High Quality Cocaine [93%] | D: ** Ordered before 12:30 Dutch time is shipped the same day (no shipping Saturdays and Sundays). SHOP --------------------------------------------------------... | C: Drugs,Opioids,Heroin || Drugs,Stimulants,Cocaine",T: Half Ounce (14 grams) High Quality Crack Cocaine || 20 grams High Quality Cocaine | D: Ordered before 12:30 Dutch time is shipped the same day (no shipping Saturdays and Sundays). SHOP Visit our shop to see our other offers as well: - Pure Afgh... | C: Heroin || Cocaine
169,market_item.xlsx|Cartel|seller_raw:winamax||market_item.xlsx|tor2door market|seller_raw:trusteelucky,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,positive,codex_seed_v1,shared wickr and exact cashout-account title and description clone,0,1,1,valid,comp_00028,4,market_item.xlsx|Cartel|seller_raw:winamax,market_item.xlsx|tor2door market|seller_raw:trusteelucky,Cartel,tor2door market,winamax,trusteelucky,different_alias,false,profile_lexical_neighbor|shared_contact_exact|shared_description_clone|shared_title_clone,15.822786,0.344101,0.37909,1,wickr:winamaxschool,1,😆💸BUY 1 GET 3 🎁🌍WW VERIFIED PAYPAL ACCOUNT 500$-10K$+💻50 VIDEOS CASHOUT+🎁TEACH YOU,2,😆💸BUY 1 GET 3 🎁🌍WW VERIFIED PAYPAL ACCOUNT 500$-10K$+💻50 VIDEOS CASHOUT+🎁TEACH YOU WELCOME IN WINAMAX SHOP WELCOME IN WINAMAX SHOP AT YOUR SERVICE TO MAKE MONEY 💵 News : 07/10/2... || 😆💸BUY 1 GET 3 🎁🌍WW VERIFIED PAYPAL ACCOUNT 500$-10K$+💻50 VIDEOS CASHOUT+🎁TEACH YOU WELCOME IN WINAMAX SHOP WELCOME IN WINAMAX SHOP AT YOUR SERVICE TO MAKE MONEY 💵 News : 07/10/2...,0,,0,,"T: 🇺🇸💳BUY 1 GET 3 FREE CREDIT CARD CVV | Balance 1000$ - 10000$ + CARDING GUIDE 100% WORKING 2020💳🇺🇸 || 🇺🇸💳BUY 1 GET 3 FREE CREDIT CARD CVV | Balance 5000$ - 50000$ + CARDING GUIDE 100% WORKING 2020💳🇺🇸 | D: ✓ PLEASE READ COMPLETE DESCRIPTION IN OUR PROFILE CVV 100% LIVE - USA - WORLDWIDE ★ IF YOU BUY 1 CC + GIVE GOOD FEEDBACK WITHIN 1 HOUR YOU'LL GET 3 CC EXTRA ... | C: Fraud,CVV & Cards || Fraud,Accounts & Bank Drops",T: 💳💵4X CC BUY 1 GET 3 FREE NON VBV KNOWN Balance 1000$-100000$ + ▶️ 20 CARDING VIDEOS + TEACH YOU +... || 💳💵4X CC BUY 1 GET 3 FREE NON VBV KNOWN Balance 1000$-100000$ + ▶️ 20 CARDING VIDEOS + TEACH YOU +... | D: YOU'LL GET 3 CC EXTRA FOR FREE + SECRET CARDING GUIDE WITH NEW METHOD THAT IS WORKING 100% in 2020 EVEN FOR BEGINNERS WHO ARE NEW TO CARDING + BEGINNER CARDI... | C: Digital
171,market_item.xlsx|silk road 3.1|seller_raw:Adisaarland1||market_item.xlsx|silk road 3.1|seller_raw:argus2027,en_content_train_pool,en,sockpuppet_primary,semantic_structural,medium,reviewed,negative,codex_step5_en_v1,Minimal Subutex lexical overlap with no description support; too generic for positive closure.,0,1,1,train,comp_00166,3,market_item.xlsx|silk road 3.1|seller_raw:Adisaarland1,market_item.xlsx|silk road 3.1|seller_raw:argus2027,silk road 3.1,silk road 3.1,Adisaarland1,argus2027,different_alias,true,profile_lexical_neighbor|structural_support,7.571942,1.0,0.785971,0,,0,,0,,1,Others,0,,T: Subutex 8mg || Subutex 8mg | D: No Description Specified | C: Others,T: 8mg Subutex (pack of 5) || 8mg Subutex (pack of 5) | D: No Description Specified | C: Others
172,market_item.xlsx|agartha market|seller_raw:Hawanegroup2010||market_item.xlsx|agartha market|seller_raw:spidergroup,en_content_train_pool,en,sockpuppet_primary,identifier_primary,high,reviewed,positive,codex_seed_v1,shared wickr webmasters across hacking and dump-selling profiles,0,1,1,valid,comp_00051,1,market_item.xlsx|agartha market|seller_raw:Hawanegroup2010,market_item.xlsx|agartha market|seller_raw:spidergroup,agartha market,agartha market,Hawanegroup2010,spidergroup,different_alias,true,profile_lexical_neighbor|shared_contact_exact,8.15183,0.18902,0.508855,1,wickr:webmasters,0,,0,,4,"Cannabis,Buds - Weed,Concentrates,Cartridges,Clones || Digital Items,Media,Invitations,How-To Guides,E-Books || Psychedelics,2C-x,Acid - LSD,DMT,Ecstacy - MDMA || Services,E-Currency Exchange,Cash Out,Classifieds,Other",0,,"T: M.D.M.A ,C.O.K.E, KE.TA.MI.NE AND H.E.R.O.I.N. || HIRE THE BEST HACKERS+1(916) 674-2423 | D: contact us now and search no more . *University grades changing *Bank accounts hack *Twitters hack *email accounts hack *Grade Changes hack * load bank accou... | C: Digital Items,Media,Invitations,How-To Guides,E-Books || Psychedelics,2C-x,Acid - LSD,DMT,Ecstacy - MDMA","T: BEST Quality MDMA Crystals Rock 30g for $300 || TOPPED UP CC,VISA,MASTER CARDS. sample deals | D: WICKR....webmasters email....hawane2010@gmail.com BUY TOP QUALITY RANDOM BINS CREDIT-CARDS We can guarantee you: QUALITY DUMPS with high balance. 100% Secure... | C: Services,E-Currency Exchange,Cash Out,Classifieds,Other || Digital Items,Media,Invitations,How-To Guides,E-Books"
173,market_item.xlsx|dark0de|seller_raw:fedex||market_item.xlsx|silk road 3.1|seller_raw:RS7,en_content_train_pool,en,sockpuppet_primary,semantic_only,medium,reviewed,negative,codex_step5_en_v1,Generic worldwide drug-shipping block shared across sellers; reusable template language.,0,1,1,test,comp_00012,9,market_item.xlsx|dark0de|seller_raw:fedex,market_item.xlsx|silk road 3.1|seller_raw:RS7,dark0de,silk road 3.1,fedex,RS7,different_alias,false,profile_lexical_neighbor,4.569622,0.598888,0.488147,0,,0,,0,,0,,0,,"T: **(0.5g)** pure colombian cocaine (93%) || **(1.5g)** high quality cocaine (90%) | D: **Shipping** -Europe: 1-7 Days -United Kingdom: 2-7 Days -United States: 3-12 Days -Rest Of The World: 12-20 Days -Orders That Come In Before 1:00 PM (13:00 ... | C: Drugs, Stimulants || Drugs, Dissociatives",T: ⌐|10G|¬ ► Pure Afghan Heroin #3 [UNCUT] #3 | Free WW-Shipping [ SUPER INTRO SALE ] || ⌐|1G|¬ ► Pure Colombian Cocaine [UNCUT] | Free WW-Shipping | D: ║Shipping║ → Europe: 1-7 Days → United Kingdom: 2-7 Days → United States: 3-12 Days → Belgium: 2-5 Days → Germany: 3-6 Days → France: 3-8 Days → Rest Of The ... | C: Cocaine || Heroin
175,market_item.xlsx|agartha market|seller_raw:Walgreens||market_item.xlsx|agartha market|seller_raw:caliscoties,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,positive,codex_en_source_expansion_review_20260421,codex_review: positive; shared seller-facing IM/phone contact has supporting profile evidence.,0,1,1,train,comp_00030,94,market_item.xlsx|agartha market|seller_raw:Walgreens,market_item.xlsx|agartha market|seller_raw:caliscoties,agartha market,agartha market,Walgreens,caliscoties,different_alias,true,shared_contact_exact|shared_description_clone|shared_title_clone,15.819624,0.0,0.409812,3,wickr:walgreenstore || email:firsttrustmeds@gmail.com || telegram:walgreenstore,2,REAL PHARM 30mg Oxycodone 50 pills A215 and M 30 || FAST PAYPAL TRANSFER SERVICE 3000$ for 300$,1,VISIT OUR STORE FORE MORE AMOUNTS AND SPECIAL DEALS ++++++++++++++++++++++++ *** PRODUCT *** ++++++++++++++++++++++++ >> Adderall 30mg >> Adderall 20mg >> Oxycodon 30mg >> Oxyco...,2,"Psychedelics,2C-x,Acid - LSD,DMT || Services,E-Currency Exchange,Cash Out,Classifieds,Other",0,,"T: GET DIGITAL AND PHYSICAL GIFTCARDS,AMAZON,FOR $300 || 40 QUALITY DANK CARTS AVAILABLE= 300$ | D: DO TO MANY SCAMS ON THE MARKETS WE NOW ACCEPT FULL ESCROW WHEN YOU GET PACKAGE BEFORE YOU FINALIZE THANKS Wickr....walgreenstore Telegram: walgreenstore what... | C: Services,E-Currency Exchange,Cash Out,Classifieds,Other || Cannabis,Buds - Weed,Concentrates,Cartridges,Edibles,Resin,Wax,Other","T: PROMOLemonHaze,SuperSilverHaze,White 99,WhiteWidow || PERFECT FIRE FS ARCHON TYPE B 9MM ERFECT FIRE | D: Message us before or after placing your order. FOR FAST RESPONSE WICKR.... skplug1 Whatsapp / Number +(760) 865-9587 .CannaCare is here again with the best T... | C: Services,E-Currency Exchange,Cash Out,Classifieds,Other || Digital Items,Erotica,Security,Software,Other"
176,market_item.xlsx|dark0de|seller_raw:calgreen||market_item.xlsx|versus market|seller_raw:spicespicebaby,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,high,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; clone evidence is compatible with public product/template reuse and lacks identity closure.,0,0,0,uncertain_holdout,,,market_item.xlsx|dark0de|seller_raw:calgreen,market_item.xlsx|versus market|seller_raw:spicespicebaby,dark0de,versus market,calgreen,spicespicebaby,different_alias,false,profile_lexical_neighbor|shared_description_clone|shared_title_clone,16.388484,0.699577,0.595511,0,,5,devour sour rings alien apple / 500mg thc || devour sweet villians / 500mg thc tropical candy || starbuds 500mg thc infused || elite cannabis gummies (all strains) || alpine 1g vape cartridge,5,Water Melon Devour is an award winning edible brand that produces and distributes THC infused gummies in the state of Colorado. Devour started with an idea to stand out from the... || Devour is an award winning edible brand that produces and distributes THC infused gummies in the state of Colorado. Devour started with an idea to stand out from the crowd by de... || You heard that right. THC Chips!!! One of coolest (and funniest) things about the cannabis industry would have to be creations such as these! It was really only a matter of time...,0,,0,,"T: blue cookies indica weed - 28 grams - indoor || devour chocolate bites 600mg thc | D: aromas and effects are retained for your vaping pleasure. Our proprietary live-liquid hydrocarbon extraction utilizes whole plants harvested at peak ripeness... | C: Drugs, Cannabis","T: Stoner Patch Dummies THC Gummies (350MG) - BUY 4 GET - 1 FREE || One-Up Psilocybin Chocolate Mushroom Bar | D: Herbal Incense 10-GRAM Bags (Many Flavors & Types) - Synthetic Weed - PASS DRUG TEST The Best Herbal Incense Weed - Each Quantity is a 10-GRAM BAG PLEASE CHO... | C: Cannabis,Edibles || Cannabis,Concentrates"
177,market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:asimpleuser,en_content_train_pool,en,sockpuppet_primary,semantic_structural,medium,reviewed,negative,codex_step5_en_v1,No-name placeholder overlap with category mismatch; structural coincidence.,0,1,1,valid,comp_00167,64,market_item.xlsx|silk road 3.1|seller_raw:Ahero,market_item.xlsx|silk road 3.1|seller_raw:asimpleuser,silk road 3.1,silk road 3.1,Ahero,asimpleuser,different_alias,true,profile_lexical_neighbor|structural_support,7.5,1.0,0.75,0,,0,,0,,0,,0,,T: No Item Name || No Item Name | D: No Description Specified | C: Weed,T: No Item Name || No Item Name | D: No Description Specified | C: NB
178,market_item.xlsx|silk road 3.1|seller_raw:Counterfeitking2013||market_item.xlsx|silk road 3.1|seller_raw:gunman2013,en_content_train_pool,en,sockpuppet_primary,identifier_primary,high,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; shared contact exists but seller-facing context or support is insufficient for a positive label.,0,0,0,uncertain_holdout,,,market_item.xlsx|silk road 3.1|seller_raw:Counterfeitking2013,market_item.xlsx|silk road 3.1|seller_raw:gunman2013,silk road 3.1,silk road 3.1,Counterfeitking2013,gunman2013,different_alias,true,profile_lexical_neighbor|shared_contact_exact,8.136606,0.16304,0.579183,1,email:josnlant@gmail.com,0,,0,,5,Counterfeits || Drops || Edibles || Heroin || Others,0,,T: FAKE NOTES BEST COUNTERFEITS US UK EUR AUD AND MORE PAYPAL ACCEP || FAKE NOTES BEST COUNTERFEITS US UK EUR AUD AND MORE PAYPAL ACCEP | D: id=q7JkYtTTFkwByfKfb5nb8BcsSbMjfu6EBOYzgStV Next day US delivery and USPS international over seas delivery we accept paypal and bank transfers also for buyer... | C: Counterfeits || Edibles,T: UK/US/EUR/AUD COUNTERFEIT NOTES WE ACCEPT PAYPAL ASWELL AS BITC || UK/US/EUR/AUD COUNTERFEIT NOTES WE ACCEPT PAYPAL ASWELL AS BITC | D: MERRY CHRISTMAS AND A WALM WELCOME TO OUR STORE GET ALL YOUR CHRISTMAS GOOD FOR A FRACTION OF THE PRICE WITH OUR COUNTERFEIT NOTES ALL OUR NOTES ARE OF AN EX... | C: Others || MDMA
179,market_item.xlsx|cypher market|seller_raw:MickeyMouseNL||market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,en_content_train_pool,en,sockpuppet_primary,semantic_only,medium,reviewed,uncertain,codex_en_source_expansion_review_20260421,codex_review: uncertain; alias relation prevents using this row as a clean negative.,0,0,0,uncertain_holdout,,,market_item.xlsx|cypher market|seller_raw:MickeyMouseNL,market_item.xlsx|vice city|seller_raw:MickeyMouseNLL,cypher market,vice city,MickeyMouseNL,MickeyMouseNLL,different_alias,false,profile_lexical_neighbor,4.56322,0.711479,0.147173,0,,0,,0,,0,,0,,"T: 1 - 14 grams High Quality Crack Cocaine [90%] || 1 - 100 grams Good Turkish Heroin #3 [73%] | D: ** Ordered before 12:30 Dutch time is shipped the same day (no shipping saturdays and sundays). SHOP --------------------------------------------------------... | C: Drugs,Opiates,Heroin || Drugs,Stimulants,Cocaine",T: Half Ounce (14 grams) High Quality Crack Cocaine || 20 grams High Quality Cocaine | D: Ordered before 12:30 Dutch time is shipped the same day (no shipping Saturdays and Sundays). SHOP Visit our shop to see our other offers as well: - Pure Afgh... | C: Heroin || Cocaine
181,market_item.xlsx|darkfox market|seller_raw:ahemweedshop||market_item.xlsx|darkfox market|seller_raw:usaconnect75,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,uncertain,codex_en_source_expansion_review_20260421,"codex_review: uncertain; shared contact-like token appears in product credentials, leaked data, or sample account context.",0,0,0,uncertain_holdout,,,market_item.xlsx|darkfox market|seller_raw:ahemweedshop,market_item.xlsx|darkfox market|seller_raw:usaconnect75,darkfox market,darkfox market,ahemweedshop,usaconnect75,different_alias,true,shared_contact_exact|shared_description_clone|shared_title_clone,15.531458,0.0,0.265729,1,wickr:usaconnect75,2,"BEST QUALITY AUTHENTIC ID Cards,AUTHENTIC Passports AND Drivers License || TEST,DBOL,TREN,MAST,CLEN,WINN,SUST,ANADRL,CLOMID,HGH",2,"We are suppliers of steroids for bodybuilding and weight lose. We recommend beginners cycle and post cycle. we ship all around the world but we are based in USA. products includ... || We are a team of IT specialist and data base technicians . We have the professional capabilities of producing you a real registered drivers license, id card and passport for USA...",2,"Counterfeit Items,Fake IDs || Counterfeit Items,Money",0,,"T: The Cheapest !!! 700$ US Paypal Accounts Balance [ PP - SUPPER OFFER ] + 14000$ Bonuses Accounts || TEST,DBOL,TREN,MAST,CLEN,WINN,SUST,ANADRL,CLOMID,HGH | D: injectable and for oral administration. All reports from customers have ONLY been positive reviews with all customers saying the pills are a clean high and w... | C: Counterfeit Items,Money || Fraud,Cards & CVV","T: xanax,Adderall,Diazepam,Oxy,Vico,,Dilaudid,Morphine,tramadol || xanax,Adderall,Diazepam,Oxy,Vico,,Dilaudid,Morphine,tramadol | D: -Express Delivery Available with DHL and UPS. -Tracking numbers available with references. -Fast and Secure Shipments.For faster communication...KIK..... usa... | C: Drugs,Benzos || Drugs,Cannabis,Concentrates"
