pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3,source_seller_raw_left,source_seller_raw_right,alias_normalized_left,alias_normalized_right,scoring_experiment_name,score_rank_desc,prob_positive,relation_reliability_score,relation_reliability_pass,relation_reliability_direct_identity_support,relation_reliability_semantic_topic_only,relation_reliability_style_consistency,relation_reliability_components,edge_score_final,edge_at_threshold_0470000,edge_at_threshold_0800000,edge_at_threshold_0900000
market_item.xlsx|中文暗网交易市场|seller_raw:573258||market_item.xlsx|茶马古道|seller_raw:/shop/455140,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:573258,market_item.xlsx|茶马古道|seller_raw:/shop/455140,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,4,3,0,0,0,0.0,0.0,0.0,0.0,16.875982,16.875982,8.437991,8.437991,0,2,2,3,0.573733,0.437685,2468,2629,0.010913,0.0942,0.087593,0.007551,0.020989,0.135643,0.015536,0.028717,0.755327,0.100935,1.0,97.998155,0.5,389.5,0.053368,0.019873,0.0,0.0,0.294118,0.013555,0.984999,0.896491,0.918496,0.934833,0.780113,0.655749,0.107541,573258,/shop/455140,573258,/shop/455140,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,11,0.981469,0.61,1,0,0,0.941845,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.598696,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:533307||market_item.xlsx|茶马古道|seller_raw:/shop/10063,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:533307,market_item.xlsx|茶马古道|seller_raw:/shop/10063,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,3,3,0,0,0,0.0,0.0,0.0,0.0,25.313973,25.313973,8.437991,8.437991,0,3,3,3,0.460492,0.431612,2468,2629,0.024225,0.068611,0.052433,0.336697,0.042044,0.032505,0.015536,0.028717,0.717065,0.007168,1.0,149.997045,0.5,33.0,0.042885,0.002634,0.0,0.0,0.25,0.001622,0.993552,0.870477,0.931114,0.959907,0.954411,0.730052,0.037846,533307,/shop/10063,533307,/shop/10063,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,12,0.97466,0.61,1,0,0,0.962726,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.594542,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:66960||market_item.xlsx|茶马古道|seller_raw:/shop/396961,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:66960,market_item.xlsx|茶马古道|seller_raw:/shop/396961,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,2,3,0,0,0,0.0,0.0,0.0,0.0,0,16.5883,0.0,8.29415,0,2,0,3,0.216984,0.290844,2468,2629,0.03668,0.260165,0.038168,0.185257,0.192191,0.102851,0.015536,0.028717,0.188819,0.139738,27.0,4.99988,2.0,48.5,0.003236,0.007929,0.0,0.0,0.324042,0.021012,0.983803,0.86716,0.907818,0.94303,0.927856,0.678923,0.019712,66960,/shop/396961,66960,/shop/396961,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,13,0.971485,0.43,1,0,0,0.878706,+rare_description_clone:0.150 || +style_consistency:0.080,0.417738,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:542584||market_item.xlsx|中文暗网交易市场|seller_raw:634642,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:542584,market_item.xlsx|中文暗网交易市场|seller_raw:634642,中文暗网交易市场,中文暗网交易市场,1,1,high,pending,,1.0,1,1,0,0,2,1,4,0,0,0.0,0.0,0.0,0.0,0,7.927166,0.0,7.927166,0,1,0,4,0.32484,0.826306,2468,2468,0.014998,0.06891,0.168221,0.009323,0.033644,0.051074,0.0,0.0,0.003243,0.009323,10.0,0.00019,3.0,2.0,0.004464,0.005143,0.0,0.0,0.010889,0.000826,0.991076,0.897511,0.940021,0.967484,0.943367,0.75478,0.174057,542584,634642,542584,634642,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,14,0.971337,0.55,1,0,0,0.987839,+rare_description_clone:0.150 || +structural_support:0.120 || +style_consistency:0.080,0.534236,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:326247||market_item.xlsx|茶马古道|seller_raw:/shop/504,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:326247,market_item.xlsx|茶马古道|seller_raw:/shop/504,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,50.627946,0.0,8.437991,0,6,0,2,0.920133,0.496037,2468,2629,0.087583,0.167835,0.093458,0.011714,0.06644,0.026935,0.015536,0.028717,0.0,0.030244,0.0,49.99907,4.0,182.0,0.012704,0.013438,0.0,0.0,0.0,0.005602,0.99082,0.981662,0.971306,0.992551,0.979853,0.908137,0.459214,326247,/shop/504,326247,/shop/504,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,15,0.965538,0.43,1,0,0,0.970519,+rare_description_clone:0.150 || +style_consistency:0.080,0.415181,1,1,1
market_item.xlsx|茶马古道|seller_raw:/shop/397616||market_item.xlsx|茶马古道|seller_raw:/shop/398592,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|茶马古道|seller_raw:/shop/397616,market_item.xlsx|茶马古道|seller_raw:/shop/398592,茶马古道,茶马古道,1,1,high,pending,,0.6,1,1,0,0,3,3,3,0,0,0.0,0.0,0.0,0.0,16.875982,8.437991,8.437991,8.437991,0,1,2,4,0.500249,0.688281,2629,2629,0.062024,0.030441,0.252283,0.014459,0.020928,0.093987,0.0,0.0,0.0,0.189118,10.0,10.0,16.0,198.5,0.004861,0.010306,0.0,0.0,0.0,0.028583,0.991931,0.962387,0.962517,0.956139,0.915087,0.859392,0.170077,/shop/397616,/shop/398592,/shop/397616,/shop/398592,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,16,0.965042,0.73,1,0,0,0.974316,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +structural_support:0.120 || +style_consistency:0.080,0.704481,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:581293||market_item.xlsx|茶马古道|seller_raw:/shop/428434,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:581293,market_item.xlsx|茶马古道|seller_raw:/shop/428434,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,25.313973,0,8.437991,0.0,0,0,3,2,0.839859,0.435336,2468,2629,0.121016,0.143482,0.046576,0.104299,0.275619,0.073292,0.015536,0.028717,0.0,0.060109,1.0,44.49907,1.5,35.5,0.014476,0.000794,0.0,0.0,0.0,0.002086,0.990481,0.942714,0.955428,0.980664,0.95841,0.738072,0.125378,581293,/shop/428434,581293,/shop/428434,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,17,0.962776,0.46,1,0,0,0.933299,+rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.442877,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:539806||market_item.xlsx|茶马古道|seller_raw:/shop/6242,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:539806,market_item.xlsx|茶马古道|seller_raw:/shop/6242,中文暗网交易市场,茶马古道,0,1,low,pending,,0.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,0.0,0.291452,2468,2629,0.011805,0.149481,0.195522,0.186841,0.304069,0.365826,0.015536,0.029098,0.194484,0.023623,52.0,27.99926,3.0,1.0,0.015839,0.033788,0.0,0.012658,0.288796,0.000899,0.984608,0.88515,0.929753,0.955323,0.927046,0.552353,0.016975,539806,/shop/6242,539806,/shop/6242,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,18,0.960384,0.28,0,0,0,0.831839,+style_consistency:0.080,0.268908,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:433667||market_item.xlsx|茶马古道|seller_raw:/shop/420925,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:433667,market_item.xlsx|茶马古道|seller_raw:/shop/420925,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,67.503928,0.0,8.437991,0,8,0,2,0.752232,0.296014,2468,2629,0.407599,0.293012,0.30487,0.659627,0.001868,0.150018,0.015536,0.028717,0.0,0.509993,3.0,0.99998,7.0,1306.0,0.040991,0.018443,0.0,0.0,0.0,0.072496,0.973617,0.887633,0.926654,0.910348,0.682696,0.719695,0.064851,433667,/shop/420925,433667,/shop/420925,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,19,0.955361,0.43,1,0,0,0.778485,+rare_description_clone:0.150 || +style_consistency:0.080,0.410805,1,1,1
market_item.xlsx|茶马古道|seller_raw:/shop/405653||market_item.xlsx|茶马古道|seller_raw:/shop/7184,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|茶马古道|seller_raw:/shop/405653,market_item.xlsx|茶马古道|seller_raw:/shop/7184,茶马古道,茶马古道,1,1,high,pending,,0.0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0,32.953457,0.0,8.238364,0,4,0,1,0.0,0.409133,2629,2629,0.265982,0.064308,0.239346,0.019407,0.02207,0.393456,0.0,0.0,0.75761,0.078006,2.0,3.0,6.0,190.0,0.003202,0.045771,0.0,0.0,0.333333,0.011299,0.994718,0.935482,0.958729,0.984412,0.923918,0.722874,0.397358,/shop/405653,/shop/7184,/shop/405653,/shop/7184,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,20,0.952969,0.43,1,0,0,0.928843,+rare_description_clone:0.150 || +style_consistency:0.080,0.409776,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:470314||market_item.xlsx|中文暗网交易市场|seller_raw:472166,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:470314,market_item.xlsx|中文暗网交易市场|seller_raw:472166,中文暗网交易市场,中文暗网交易市场,1,1,high,pending,,1.0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,75.941919,0.0,8.437991,0,9,0,3,0.903737,0.836991,2468,2468,0.177949,0.0,0.35752,0.014187,0.217673,0.030807,0.0,0.0,0.0,0.08715,1.0,0.0,6.5,971.5,0.084902,0.2132,0.0,0.0,0.0,0.005973,0.993193,0.982358,0.990523,0.995265,0.99405,0.802359,0.107078,470314,472166,470314,472166,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,21,0.952357,0.55,1,0,0,0.977503,+rare_description_clone:0.150 || +structural_support:0.120 || +style_consistency:0.080,0.523796,1,1,1
market_item.xlsx|茶马古道|seller_raw:/shop/463004||market_item.xlsx|茶马古道|seller_raw:/shop/463446,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|茶马古道|seller_raw:/shop/463004,market_item.xlsx|茶马古道|seller_raw:/shop/463446,茶马古道,茶马古道,1,1,high,pending,,0.2,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,64.597582,0.0,8.074698,0,8,0,2,0.389122,0.442114,2629,2629,0.047564,0.0,0.049087,0.505708,0.324201,0.001903,0.014079,0.066971,0.238204,0.457762,4.0,0.0,14.0,334.0,0.058383,0.000236,0.666667,0.666667,0.488889,0.093361,0.986611,0.890693,0.942657,0.954542,0.836918,0.695453,0.351934,/shop/463004,/shop/463446,/shop/463004,/shop/463446,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,22,0.950003,0.43,1,0,0,0.941971,+rare_description_clone:0.150 || +style_consistency:0.080,0.408501,1,1,1
market_item.xlsx|茶马古道|seller_raw:/shop/398130||market_item.xlsx|茶马古道|seller_raw:/shop/452097,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|茶马古道|seller_raw:/shop/398130,market_item.xlsx|茶马古道|seller_raw:/shop/452097,茶马古道,茶马古道,1,1,high,pending,,0.25,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,47.562996,0.0,7.927166,0,6,0,2,0.450104,0.39826,2629,2629,0.414003,0.0,0.070015,0.519406,0.513698,0.100837,0.008752,0.042618,0.942161,0.161339,10.0,0.0,9.0,397.0,0.102667,0.009911,0.363636,0.454545,0.545455,0.019524,0.980016,0.860716,0.927928,0.947684,0.850714,0.680104,0.13595,/shop/398130,/shop/452097,/shop/398130,/shop/452097,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,23,0.946922,0.43,1,0,0,0.868912,+rare_description_clone:0.150 || +style_consistency:0.080,0.407176,1,1,1
