pair_uid,data_bucket,candidate_language,split_name,split_component_id,review_label,review_stratum,usable_for_supervision,usable_for_core_transfer,candidate_rule_hits,shared_contact_count,shared_pgp_fingerprint_count,shared_title_count,shared_description_count,embedding_cosine_multilingual_e5_large,embedding_cosine_bge_m3,embedding_cosine_labse,structural_support_score_raw,source_seller_raw_left,source_seller_raw_right,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,has_direct_identifier_signal,has_template_clone_signal,has_semantic_topic_signal,has_public_contact_or_url_noise_signal,evidence_type_reasons
market_item.xlsx|versus market|seller_raw:melvinbankz||market_item.xlsx|vice city|seller_raw:Fraudbuddy,en_content_train_pool,en,test,comp_00022,negative,semantic_only,1,1,,,,,,0.920182,0.906096,0.921261,0.374751,melvinbankz,Fraudbuddy,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Cartel|seller_raw:fraudbuddy||market_item.xlsx|tor2door market|seller_raw:fraudbuddy,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.959325,0.944572,0.96688,0.474287,fraudbuddy,fraudbuddy,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|apollon market|seller_raw:MrSoSa (95%)||market_item.xlsx|darkfox market|seller_raw:MrSoSa,en_content_train_pool,en,audit_only_soft_alias,,positive,identifier_plus_text,0,0,,,,,,0.950725,0.914813,0.93539,0.493981,MrSoSa (95%),MrSoSa,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:salsid||market_item.xlsx|silk road 3.1|seller_raw:sulcud,en_content_train_pool,en,train,comp_00278,positive,text_clone_primary,1,1,,,,,,0.97578,0.937685,0.982944,0.8298,salsid,sulcud,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:HighQaulityTrip,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.964145,0.950539,0.975503,1.0,Ahero,HighQaulityTrip,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|dark0de|seller_raw:lordsheng||market_item.xlsx|darkfox market|seller_raw:ddprovider,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.911974,0.873311,0.890297,0.302013,lordsheng,ddprovider,uncertain,uncertain_insufficient_evidence,0,0,1,0,1,1,uncertain_or_not_supervision_label
market_item.xlsx|silk road 3.1|seller_raw:doctorweed83||market_item.xlsx|silk road 3.1|seller_raw:samuellance33,en_content_train_pool,en,test,comp_00196,negative,semantic_only,1,1,,,,,,0.948216,0.933934,0.92082,0.467154,doctorweed83,samuellance33,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|darkfox market|seller_raw:kim0ra||market_item.xlsx|silk road 3.1|seller_raw:kim0ra,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.97557,0.970838,0.992072,0.708286,kim0ra,kim0ra,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|apollon market|seller_raw:Crownstar (100%)||market_item.xlsx|apollon market|seller_raw:Shan (100%),en_content_train_pool,en,train,comp_00065,positive,identifier_plus_text,1,1,,,,,,0.953831,0.940934,0.956083,0.937317,Crownstar (100%),Shan (100%),same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:L0RDXANAX||market_item.xlsx|silk road 3.1|seller_raw:RealLordXanax,en_content_train_pool,en,train,comp_00213,positive,text_clone_primary,1,1,,,,,,0.988859,0.985776,0.993285,0.793551,L0RDXANAX,RealLordXanax,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:TheExpansionsLevande,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.958796,0.955596,0.979316,1.0,Ahero,TheExpansionsLevande,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:vatsal||market_item.xlsx|silk road 3.1|seller_raw:vatsalmedsgmailcom,en_content_train_pool,en,test,comp_00154,positive,identifier_primary,1,1,,,,,,0.893914,0.858043,0.873697,0.606575,vatsal,vatsalmedsgmailcom,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:TheHacienda (100%)||market_item.xlsx|dark0de|seller_raw:thehacienda,en_content_train_pool,en,audit_only_soft_alias,,positive,semantic_only,0,0,,,,,,0.925138,0.873918,0.894115,0.465743,TheHacienda (100%),thehacienda,same_controller,same_controller_style_structural_soft,1,0,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|darkfox market|seller_raw:bajie1||market_item.xlsx|vice city|seller_raw:Bajie1,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.940399,0.907399,0.971137,0.38466,bajie1,Bajie1,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|Cartel|seller_raw:mr_dough||market_item.xlsx|darkfox market|seller_raw:mrdough,en_content_train_pool,en,audit_only_soft_alias,,positive,identifier_plus_text,0,0,,,,,,0.928896,0.908295,0.938968,0.335314,mr_dough,mrdough,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:Gunnerman||market_item.xlsx|silk road 3.1|seller_raw:TheGunnerMan,en_content_train_pool,en,train,comp_00204,positive,text_clone_primary,1,1,,,,,,0.968926,0.966573,0.980888,0.944032,Gunnerman,TheGunnerMan,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:janmolen,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.962542,0.954366,0.978782,1.0,Ahero,janmolen,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|agartha market|seller_raw:inlandpro||market_item.xlsx|agartha market|seller_raw:mert,en_content_train_pool,en,test,comp_00054,positive,identifier_primary,1,1,,,,,,0.90462,0.920153,0.947298,0.55735,inlandpro,mert,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:charching187 (100%)||market_item.xlsx|tor2door market|seller_raw:charching187,en_content_train_pool,en,audit_only_soft_alias,,positive,semantic_only,0,0,,,,,,0.956225,0.948493,0.96063,0.412288,charching187 (100%),charching187,same_controller,same_controller_style_structural_soft,1,0,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|Cartel|seller_raw:melvinbankz||market_item.xlsx|versus market|seller_raw:melvinbankz,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.955075,0.913205,0.958267,0.734756,melvinbankz,melvinbankz,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|versus market|seller_raw:TheBodyShops||market_item.xlsx|vice city|seller_raw:TheBodyShop,en_content_train_pool,en,train,comp_00284,positive,identifier_plus_text,1,1,,,,,,0.952384,0.940369,0.971855,0.595221,TheBodyShops,TheBodyShop,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:Drugsterminator (91%)||market_item.xlsx|apollon market|seller_raw:Partydrug-NL (100%),en_content_train_pool,en,train,comp_00070,positive,text_clone_primary,1,1,,,,,,0.979729,0.974878,0.981876,0.984017,Drugsterminator (91%),Partydrug-NL (100%),same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:johnsenasss666,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.964022,0.95998,0.948598,1.0,Ahero,johnsenasss666,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:gennexlabs||market_item.xlsx|silk road 3.1|seller_raw:tatachemicals,en_content_train_pool,en,valid,comp_00217,positive,identifier_primary,1,1,,,,,,0.896192,0.845685,0.855741,0.54093,gennexlabs,tatachemicals,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:fungifunguy (100%)||market_item.xlsx|dark0de|seller_raw:fungifunguy,en_content_train_pool,en,audit_only_soft_alias,,positive,semantic_only,0,0,,,,,,0.893016,0.844283,0.845799,0.478921,fungifunguy (100%),fungifunguy,same_controller,same_controller_style_structural_soft,1,0,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|versus market|seller_raw:melvinbankz||market_item.xlsx|vice city|seller_raw:Melvinbankz,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.935307,0.886149,0.945732,0.290623,melvinbankz,Melvinbankz,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|Lime|seller_raw:dongreenplug||market_item.xlsx|Lime|seller_raw:thimoty99,en_content_train_pool,en,test,comp_00038,positive,identifier_plus_text,1,1,,,,,,0.949407,0.938949,0.965558,0.657404,dongreenplug,thimoty99,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:Vend1ngMach1ne||market_item.xlsx|silk road 3.1|seller_raw:VendingMach1n3,en_content_train_pool,en,train,comp_00243,positive,text_clone_primary,1,1,,,,,,0.989239,0.990486,0.980331,0.829139,Vend1ngMach1ne,VendingMach1n3,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen||market_item.xlsx|silk road 3.1|seller_raw:FABIUS007,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.959257,0.937077,0.95437,1.0,Bnnemannen,FABIUS007,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:Mrroxy||market_item.xlsx|silk road 3.1|seller_raw:gennexlabs,en_content_train_pool,en,valid,comp_00217,negative,identifier_primary,1,1,,,,,,0.92138,0.920632,0.907871,0.524804,Mrroxy,gennexlabs,different_controller,public_contact_or_url_noise,1,1,1,1,0,1,contact_like:feature_has_shared_contact_exact|contact_like:feature_shared_contact_count|contact_like:review_stratum:identifier|negative_label_with_contact_like_overlap
market_item.xlsx|silk road 3.1|seller_raw:hitler123||market_item.xlsx|silk road 3.1|seller_raw:lomskipystinqk,en_content_train_pool,en,valid,comp_00211,negative,semantic_only,1,1,,,,,,0.90015,0.827519,0.878426,0.345555,hitler123,lomskipystinqk,different_controller,semantic_topic_not_controller,1,1,0,0,1,0,embedding_cosine_bge_m3>=0.8|embedding_cosine_gte_multilingual_base>=0.8|embedding_cosine_labse>=0.8|embedding_cosine_multilingual_e5_large>=0.8
market_item.xlsx|cypher market|seller_raw:fmgermany||market_item.xlsx|darkfox market|seller_raw:fmgermany,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.972342,0.987038,0.993405,0.646327,fmgermany,fmgermany,same_controller,same_controller_style_structural_soft,1,0,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|agartha market|seller_raw:Daha2020||market_item.xlsx|agartha market|seller_raw:wolfhon66,en_content_train_pool,en,train,comp_00030,positive,identifier_plus_text,1,1,,,,,,0.944734,0.944036,0.972802,0.356671,Daha2020,wolfhon66,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:HotShop (100%)||market_item.xlsx|dark0de|seller_raw:hotshop100,en_content_train_pool,en,train,comp_00076,positive,text_clone_primary,1,1,,,,,,0.934362,0.897337,0.942259,0.647672,HotShop (100%),hotshop100,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen||market_item.xlsx|silk road 3.1|seller_raw:HighQaulityTrip,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.957868,0.945443,0.969831,1.0,Bnnemannen,HighQaulityTrip,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:bodypartsguy||market_item.xlsx|silk road 3.1|seller_raw:goldguy,en_content_train_pool,en,valid,comp_00217,positive,identifier_primary,1,1,,,,,,0.903558,0.850637,0.926398,0.573834,bodypartsguy,goldguy,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:ADMlN||market_item.xlsx|silk road 3.1|seller_raw:WestUnionCommite,en_content_train_pool,en,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.948807,0.915524,0.970677,0.495747,ADMlN,WestUnionCommite,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|dark0de|seller_raw:notsoaverage||market_item.xlsx|darkfox market|seller_raw:NotSoAverage,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.98595,0.966865,0.985106,0.63782,notsoaverage,NotSoAverage,same_controller,same_controller_style_structural_soft,1,0,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Pfizer||market_item.xlsx|silk road 3.1|seller_raw:kennedybrown,en_content_train_pool,en,test,comp_00175,positive,identifier_plus_text,1,1,,,,,,0.963167,0.941148,0.961809,0.641026,Pfizer,kennedybrown,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:DrogenTeamDE (100%)||market_item.xlsx|apollon market|seller_raw:SuperDrugs (100%),en_content_train_pool,en,train,comp_00069,positive,text_clone_primary,1,1,,,,,,0.962211,0.941836,0.954378,0.743383,DrogenTeamDE (100%),SuperDrugs (100%),same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen||market_item.xlsx|silk road 3.1|seller_raw:TheExpansionsLevande,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.958402,0.952092,0.980645,1.0,Bnnemannen,TheExpansionsLevande,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|darkfox market|seller_raw:ddprovider||market_item.xlsx|vice city|seller_raw:Lordsheng,en_content_train_pool,en,test,comp_00021,negative,identifier_primary,1,1,,,,,,0.917333,0.875948,0.916979,0.273169,ddprovider,Lordsheng,different_controller,public_contact_or_url_noise,1,1,1,0,1,1,contact_like:feature_has_shared_contact_exact|contact_like:feature_shared_contact_count|contact_like:review_stratum:identifier|negative_label_with_contact_like_overlap
market_item.xlsx|silk road 3.1|seller_raw:ADMlN||market_item.xlsx|silk road 3.1|seller_raw:WesternTransfers84,en_content_train_pool,en,uncertain_holdout,,uncertain,semantic_only,0,0,,,,,,0.916799,0.881238,0.825621,0.466108,ADMlN,WesternTransfers84,uncertain,uncertain_insufficient_evidence,0,0,0,0,0,0,uncertain_or_not_supervision_label
market_item.xlsx|dark0de|seller_raw:asaprockymdma||market_item.xlsx|versus market|seller_raw:ASAPRockyMDMA,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.981235,0.957497,0.98664,0.624061,asaprockymdma,ASAPRockyMDMA,same_controller,same_controller_style_structural_soft,1,0,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|Cartel|seller_raw:dddprovider||market_item.xlsx|tor2door market|seller_raw:ddprovider,en_content_train_pool,en,test,comp_00021,positive,identifier_plus_text,1,1,,,,,,0.929927,0.900931,0.931326,0.637212,dddprovider,ddprovider,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|cannazon market|seller_raw:EiffelCartel||market_item.xlsx|dark0de|seller_raw:frenchycaneloni,en_content_train_pool,en,train,comp_00116,positive,text_clone_primary,1,1,,,,,,0.940875,0.914302,0.964339,0.711088,EiffelCartel,frenchycaneloni,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen||market_item.xlsx|silk road 3.1|seller_raw:janmolen,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.973844,0.968738,0.987206,1.0,Bnnemannen,janmolen,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|apollon market|seller_raw:ramashkaCC (98%)||market_item.xlsx|darkfox market|seller_raw:ramashkaCC,en_content_train_pool,en,audit_only_soft_alias,,positive,identifier_primary,0,0,,,,,,0.935219,0.922433,0.916802,0.593911,ramashkaCC (98%),ramashkaCC,same_controller,same_controller_direct_identifier,1,0,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:Frank1234||market_item.xlsx|silk road 3.1|seller_raw:jack1111,en_content_train_pool,en,train,comp_00200,positive,semantic_only,1,1,,,,,,0.935932,0.943594,0.944874,0.479624,Frank1234,jack1111,same_controller,same_controller_style_structural_soft,1,1,0,0,0,0,positive_without_direct_identifier
market_item.xlsx|cypher market|seller_raw:Justporn||market_item.xlsx|darkfox market|seller_raw:Justporn,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.979475,0.977955,0.981784,0.659168,Justporn,Justporn,same_controller,same_controller_style_structural_soft,1,0,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|Lime|seller_raw:Santiago||market_item.xlsx|agartha market|seller_raw:Hathacker,en_content_train_pool,en,test,comp_00036,positive,identifier_plus_text,1,1,,,,,,0.916433,0.877378,0.88908,0.297002,Santiago,Hathacker,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|cypher market|seller_raw:NightlifeKings||market_item.xlsx|versus market|seller_raw:AmphetamineCowboys,en_content_train_pool,en,test,comp_00087,positive,text_clone_primary,1,1,,,,,,0.960249,0.95127,0.972877,0.636923,NightlifeKings,AmphetamineCowboys,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen||market_item.xlsx|silk road 3.1|seller_raw:johnsenasss666,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.965544,0.962114,0.95067,1.0,Bnnemannen,johnsenasss666,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:quick45||market_item.xlsx|Lime|seller_raw:thimasnow,en_content_train_pool,en,uncertain_holdout,,uncertain,identifier_primary,0,0,,,,,,0.952754,0.93349,0.93843,0.721838,quick45,thimasnow,uncertain,uncertain_insufficient_evidence,0,0,1,0,0,1,uncertain_or_not_supervision_label
market_item.xlsx|agartha market|seller_raw:Lucky7||market_item.xlsx|apollon market|seller_raw:DonkeyKong54 (100%),en_content_train_pool,en,test,comp_00015,negative,semantic_only,1,1,,,,,,0.91643,0.871238,0.884425,0.302293,Lucky7,DonkeyKong54 (100%),different_controller,semantic_topic_not_controller,1,1,0,0,1,0,embedding_cosine_bge_m3>=0.8|embedding_cosine_gte_multilingual_base>=0.8|embedding_cosine_labse>=0.8|embedding_cosine_multilingual_e5_large>=0.8
market_item.xlsx|dark0de|seller_raw:bajie1||market_item.xlsx|darkfox market|seller_raw:bajie1,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.947221,0.911257,0.954425,0.542121,bajie1,bajie1,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|silk road 3.1|seller_raw:silver12||market_item.xlsx|silk road 3.1|seller_raw:silver13,en_content_train_pool,en,train,comp_00279,positive,identifier_plus_text,1,1,,,,,,0.993382,0.985723,0.996113,0.934172,silver12,silver13,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|dark0de|seller_raw:hunterbiden||market_item.xlsx|versus market|seller_raw:Hunterbiden666,en_content_train_pool,en,valid,comp_00130,positive,text_clone_primary,1,1,,,,,,0.985118,0.974644,0.989849,0.688624,hunterbiden,Hunterbiden666,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:FABIUS007||market_item.xlsx|silk road 3.1|seller_raw:HighQaulityTrip,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.968069,0.938773,0.956395,1.0,FABIUS007,HighQaulityTrip,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Cartel|seller_raw:dddprovider||market_item.xlsx|dark0de|seller_raw:lordsheng,en_content_train_pool,en,test,comp_00021,negative,identifier_primary,1,1,,,,,,0.914485,0.874692,0.910436,0.387855,dddprovider,lordsheng,different_controller,public_contact_or_url_noise,1,1,1,0,0,1,contact_like:feature_has_shared_contact_exact|contact_like:feature_shared_contact_count|contact_like:review_stratum:identifier|negative_label_with_contact_like_overlap
market_item.xlsx|silk road 3.1|seller_raw:jackie2017||market_item.xlsx|silk road 3.1|seller_raw:junky02,en_content_train_pool,en,train,comp_00269,negative,semantic_only,1,1,,,,,,0.926887,0.900642,0.881974,0.34945,jackie2017,junky02,different_controller,public_contact_or_url_noise,1,1,0,0,1,1,review_notes_public_or_non_seller_keyword
market_item.xlsx|Lime|seller_raw:Budboos||market_item.xlsx|Lime|seller_raw:DOSEPLUGS,en_content_train_pool,en,valid,comp_00031,positive,identifier_plus_text,1,1,,,,,,0.92212,0.879774,0.92204,0.319466,Budboos,DOSEPLUGS,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:FABIUS007||market_item.xlsx|silk road 3.1|seller_raw:TheExpansionsLevande,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.959396,0.939198,0.960297,1.0,FABIUS007,TheExpansionsLevande,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
