model_id,role,alias_of,seed_count,bootstrap_mode,threshold,threshold_source,valid_average_precision,seed_ids,metric_semantics_version,pr_auc_definition,average_precision_per_seed_values,average_precision_seed_mean,average_precision_seed_std,average_precision_seed_min,average_precision_seed_max,roc_auc_per_seed_values,roc_auc_seed_mean,roc_auc_seed_std,roc_auc_seed_min,roc_auc_seed_max,pr_auc_per_seed_values,pr_auc_seed_mean,pr_auc_seed_std,pr_auc_seed_min,pr_auc_seed_max,average_precision,average_precision_ci_low,average_precision_ci_high,average_precision_two_level_ci_low,average_precision_two_level_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,roc_auc_two_level_ci_low,roc_auc_two_level_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,pr_auc_two_level_ci_low,pr_auc_two_level_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,accuracy_two_level_ci_low,accuracy_two_level_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_two_level_ci_low,balanced_accuracy_two_level_ci_high,f1,f1_ci_low,f1_ci_high,f1_two_level_ci_low,f1_two_level_ci_high,precision,precision_ci_low,precision_ci_high,precision_two_level_ci_low,precision_two_level_ci_high,recall,recall_ci_low,recall_ci_high,recall_two_level_ci_low,recall_two_level_ci_high,specificity,specificity_ci_low,specificity_ci_high,specificity_two_level_ci_low,specificity_two_level_ci_high,tp,tp_ci_low,tp_ci_high,tp_two_level_ci_low,tp_two_level_ci_high,tn,tn_ci_low,tn_ci_high,tn_two_level_ci_low,tn_two_level_ci_high,fp,fp_ci_low,fp_ci_high,fp_two_level_ci_low,fp_two_level_ci_high,fn,fn_ci_low,fn_ci_high,fn_two_level_ci_low,fn_two_level_ci_high
step15_v6_m0,same_architecture_same_feature_binary_baseline,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.592597,mean_zh_valid_scores,0.65698968,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.62835200;0.58640100;0.61873000;0.62308700;0.62419600;0.61013900;0.61835800;0.60413200;0.62117300;0.61648000,0.6151048,0.01226224,0.586401,0.628352,0.84026700;0.80093300;0.82986700;0.83626700;0.84026700;0.80840000;0.83866700;0.82600000;0.83733300;0.83106700,0.8289068,0.01372606,0.800933,0.840267,0.62436700;0.58223200;0.61470200;0.61899000;0.62018300;0.60626000;0.61421700;0.59983000;0.61707100;0.61218100,0.6110033,0.01231072,0.582232,0.624367,0.623361,0.48116123,0.77300112,0.48061093,0.77270622,0.839067,0.7635792,0.90595033,0.76363487,0.90587117,0.619269,0.47061992,0.76827885,0.47129003,0.76734772,0.78,0.711443,0.851064,0.70720465,0.85438282,0.586667,0.53261567,0.65306148,0.5,0.66077205,0.3125,0.163265,0.46810162,0.0,0.484848,0.714286,0.428571,1.0,0.0,1.0,0.2,0.096154,0.333333,0.0,0.35485692,0.973333,0.935252,1.0,0.91735345,1.0,10,5.0,16.0,0.0,18.0,146,120.0,177.0,120.0,178.0,4,0.0,10.0,0.0,13.0,40,24.0,59.0,24.0,61.0
step15_v6_m1,m0_plus_evidence_weights,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.3262725,mean_zh_valid_scores,0.64834811,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.56197600;0.58400600;0.60158600;0.56578600;0.56317200;0.59761500;0.57952400;0.59103100;0.58239200;0.60178300,0.5828871,0.01535199,0.561976,0.601783,0.78626700;0.75960000;0.79453300;0.76306700;0.76760000;0.79973300;0.77720000;0.80733300;0.77506700;0.81173300,0.7842133,0.01857493,0.7596,0.811733,0.55562800;0.57893900;0.59793500;0.55795100;0.55732800;0.59370900;0.57315700;0.58674800;0.57615500;0.59772800,0.5775278,0.01655029,0.555628,0.597935,0.587261,0.44036057,0.740495,0.44177603,0.73848867,0.781467,0.69849438,0.8587338,0.69914985,0.857937,0.582196,0.42506845,0.73534492,0.42631015,0.73293785,0.71,0.63687125,0.78365725,0.3199861,0.7899181,0.68,0.60086963,0.763619,0.5416598,0.76682045,0.516667,0.39604,0.62963,0.380952,0.636364,0.442857,0.3134285,0.576923,0.25756518,0.5897545,0.62,0.490196,0.764706,0.48569235,1.0,0.74,0.64884985,0.82123967,0.08663848,0.83766285,31,20.0,44.0,20.0,52.0,111,86.0,141.0,13.0,142.025,39,26.0,53.0,24.0,136.0,19,9.0,31.0,0.0,31.0
step15_v6_m2,m1_plus_domain_balance,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.5156915,mean_zh_valid_scores,0.65467481,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.57348500;0.58187000;0.58027000;0.61336300;0.58677300;0.61680900;0.57073300;0.60777400;0.59475800;0.56038500,0.588622,0.01907969,0.560385,0.616809,0.77106700;0.79586700;0.77773300;0.77973300;0.78466700;0.83053300;0.77480000;0.82840000;0.78120000;0.75493300,0.7878933,0.02424066,0.754933,0.830533,0.56721400;0.57756800;0.57518600;0.60966800;0.58052700;0.61268600;0.56452900;0.60352100;0.59004200;0.55531200,0.5836253,0.01975661,0.555312,0.612686,0.598599,0.45434075,0.7484574,0.45287993,0.7460814,0.791333,0.70812655,0.86578432,0.70568655,0.86632695,0.593361,0.43637483,0.74337107,0.43677395,0.74171905,0.785,0.71666478,0.85148908,0.71211903,0.85167942,0.683333,0.61022485,0.7614787,0.60469128,0.76353267,0.527473,0.3928294,0.64866085,0.384615,0.652174,0.585366,0.404255,0.771429,0.395349,0.770833,0.48,0.35,0.625,0.342857,0.628571,0.886667,0.81455833,0.944444,0.81409925,0.94512407,24,14.0,35.0,14.0,35.0,133,107.0,164.0,106.0,164.0,17,8.0,28.0,8.0,28.0,26,14.0,39.0,14.0,40.0
step15_v6_m2b_matched_budget,m2_four_stage_matched_budget_without_incremental_evidence_exposure,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.375916,mean_zh_valid_scores,0.64287151,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.57601500;0.60977500;0.57632100;0.60779200;0.59650900;0.58798900;0.58230900;0.61274200;0.59064300;0.58560600,0.5925701,0.01360853,0.576015,0.612742,0.77800000;0.82240000;0.76920000;0.77760000;0.79106700;0.77973300;0.77813300;0.82933300;0.77400000;0.78346700,0.7882933,0.02066713,0.7692,0.829333,0.56821300;0.60567200;0.57147500;0.60399900;0.59047000;0.58349200;0.57483300;0.60862700;0.58563400;0.58052400,0.5872939,0.01458552,0.568213,0.608627,0.602101,0.45961633,0.74519515,0.45796083,0.74619045,0.791333,0.70974868,0.86524917,0.7086116,0.86624257,0.597639,0.4453392,0.74043935,0.44386437,0.74132822,0.76,0.689498,0.82722965,0.68626473,0.8309197,0.706667,0.6288306,0.78888945,0.6252058,0.78794105,0.555556,0.42695853,0.6724178,0.423077,0.67227642,0.517241,0.363636,0.67164782,0.36109963,0.6764823,0.6,0.461538,0.75,0.454545,0.744681,0.813333,0.728571,0.88591025,0.72916362,0.89075722,30,19.0,43.0,19.0,42.0,122,96.0,153.0,96.0,153.0,28,17.0,40.0,16.0,41.0,20,10.0,32.0,10.0,33.0
step15_v6_m3,true_warm_start_curriculum,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.4424145,mean_zh_valid_scores,0.64965807,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.54096900;0.61695300;0.59545700;0.55639100;0.57275000;0.56145900;0.57384500;0.58478500;0.58129700;0.57300600,0.5756912,0.02110108,0.540969,0.616953,0.75373300;0.83680000;0.77693300;0.77413300;0.77813300;0.77120000;0.78120000;0.80160000;0.79013300;0.80040000,0.7864265,0.02264408,0.753733,0.8368,0.53240000;0.61281000;0.59122200;0.55025700;0.56724600;0.55474100;0.56869400;0.57909200;0.57555300;0.56746700,0.5699482,0.02223269,0.5324,0.61281,0.594897,0.4499721,0.7422617,0.44197558,0.7439941,0.795467,0.71212978,0.8711798,0.7055014,0.8713731,0.59026,0.43509565,0.7371879,0.42825278,0.73910792,0.78,0.71511375,0.84375,0.7045422,0.8390254,0.7,0.63312982,0.77503228,0.62215415,0.7714331,0.55102,0.433735,0.666667,0.421053,0.65487462,0.5625,0.4,0.72093,0.387755,0.70732637,0.54,0.418605,0.6774478,0.411765,0.679245,0.86,0.789062,0.920863,0.77622137,0.916667,27,17.0,38.0,17.0,38.0,129,104.0,159.0,102.0,158.0,21,12.0,32.0,13.0,33.0,23,12.0,35.0,12.0,36.0
step15_v6_m4,m3_plus_trusted_positive_mixup,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.208206,mean_zh_valid_scores,0.65813929,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.54032500;0.59682800;0.58554900;0.54825000;0.56378000;0.54207500;0.58580300;0.56652500;0.56413400;0.56811600,0.5661385,0.01910303,0.540325,0.596828,0.75560000;0.78853300;0.77346700;0.76920000;0.77866700;0.76666700;0.78173300;0.79093300;0.78573300;0.79973300,0.7790266,0.01309094,0.7556,0.799733,0.53154100;0.59221100;0.58080900;0.54106900;0.55765700;0.53328700;0.58073000;0.55931400;0.55710900;0.56252000,0.5596247,0.02055193,0.531541,0.592211,0.577943,0.4266281,0.73839582,0.42101225,0.73671052,0.7848,0.6985181,0.86437752,0.69660058,0.86295943,0.571975,0.40843285,0.73343202,0.4012931,0.7308596,0.715,0.64203865,0.78757285,0.64651083,0.79397,0.69,0.6123638,0.76875725,0.61570313,0.77319483,0.528926,0.404255,0.63354307,0.412371,0.6428695,0.450704,0.32074895,0.5762873,0.32499188,0.590909,0.64,0.5,0.77051542,0.510204,0.777778,0.74,0.6490032,0.82099902,0.65516595,0.82946887,32,20.0,46.0,20.0,46.0,111,87.0,140.0,87.0,141.0,39,26.0,54.0,25.0,53.0,18,9.0,28.0,9.0,28.0
step15_v6_m4c_no_mixup_continuation,m4_five_stage_matched_continuation_without_positive_mixup,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.355541,mean_zh_valid_scores,0.65058028,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.56098300;0.58185300;0.60023000;0.56730800;0.56659000;0.54766200;0.57148500;0.58126700;0.57457300;0.57440300,0.5726354,0.01395831,0.547662,0.60023,0.76026700;0.78226700;0.77960000;0.77400000;0.77640000;0.76680000;0.77560000;0.80146700;0.78520000;0.80053300,0.7802134,0.01310755,0.760267,0.801467,0.55445600;0.57734600;0.59617200;0.56213000;0.56097300;0.53910300;0.56636800;0.57511500;0.56862300;0.56888300,0.5669169,0.01500387,0.539103,0.596172,0.584196,0.43696423,0.73807165,0.42966118,0.73761928,0.784267,0.69673985,0.86386682,0.69538203,0.86361293,0.57917,0.42207488,0.73282292,0.4139888,0.73136025,0.755,0.68539015,0.82266167,0.686869,0.82266167,0.69,0.6188801,0.76829047,0.6220811,0.77243402,0.533333,0.41664638,0.642202,0.41857943,0.65001017,0.509091,0.36205983,0.66166622,0.36359683,0.666667,0.56,0.44,0.7,0.446809,0.7116067,0.82,0.7368331,0.891026,0.73553568,0.8903252,28,18.0,39.0,18.0,40.0,123,97.0,154.0,97.0,154.0,27,16.0,39.0,16.0,40.0,22,11.0,34.0,11.0,34.0
step15_v6_m3_normalized_retrieval,retrieval_feature_lineage_ablation,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.358743,mean_zh_valid_scores,0.65244418,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.62457500;0.57936100;0.59318400;0.56718800;0.60501500;0.63021500;0.58136600;0.60291600;0.53946200;0.53367100,0.5856953,0.03242933,0.533671,0.630215,0.81346700;0.82360000;0.80533300;0.77093300;0.81346700;0.83506700;0.77266700;0.83000000;0.76280000;0.76053300,0.7987867,0.02905275,0.760533,0.835067,0.62049100;0.57053100;0.58772500;0.56205100;0.59991300;0.62542700;0.57684900;0.59559100;0.53295100;0.52724700,0.5798776,0.03303283,0.527247,0.625427,0.597533,0.44436638,0.747839,0.4419878,0.74777395,0.8036,0.7227683,0.87651005,0.71784245,0.87719052,0.592168,0.42831458,0.74262335,0.4287705,0.74281217,0.765,0.6989122,0.829897,0.69736237,0.840426,0.69,0.61990095,0.7676785,0.62216685,0.77881397,0.534653,0.413793,0.645833,0.41859443,0.666667,0.529412,0.37735028,0.679245,0.375,0.7069075,0.54,0.416667,0.684211,0.42102668,0.697674,0.84,0.76691075,0.90196442,0.76222968,0.9145326,27,17.0,38.0,17.0,39.0,126,100.0,156.0,100.0,158.0,24,14.0,35.0,13.0,36.0,23,12.0,36.0,12.0,35.0
step15_v6_m3_gold_only,gold_only_label_provenance_ablation,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.2513625,mean_zh_valid_scores,0.76054772,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.50553100;0.52434000;0.45761400;0.50139300;0.46554900;0.46545200;0.51213700;0.52445300;0.51053500;0.48609600,0.49531,0.02501462,0.457614,0.524453,0.70346700;0.73026700;0.70586700;0.73453300;0.70120000;0.70693300;0.73093300;0.72920000;0.74306700;0.70720000,0.7192667,0.01566527,0.7012,0.743067,0.49930900;0.51803300;0.44857700;0.49251700;0.45974400;0.45836700;0.50349100;0.51750200;0.50129500;0.47762800,0.4876463,0.02510952,0.448577,0.518033,0.529862,0.38952735,0.67085423,0.38105478,0.6652675,0.762267,0.68181765,0.8371703,0.67103073,0.8353742,0.522539,0.36974965,0.66333327,0.36140898,0.65643015,0.765,0.695,0.833333,0.691176,0.83246165,0.623333,0.55519088,0.69578443,0.55517525,0.70570888,0.419753,0.28125,0.54373315,0.278481,0.56,0.548387,0.366667,0.730769,0.34997093,0.730769,0.34,0.214286,0.482759,0.217391,0.521739,0.906667,0.855172,0.95122,0.823944,0.95109033,17,9.0,26.0,9.0,28.0,136,110.0,166.0,109.0,165.0,14,7.0,22.0,7.0,26.0,33,19.0,49.0,18.0,49.0
step15_v6_m3_gold_plus_high_confidence_silver,gold_plus_direct_contact_silver_label_provenance_ablation,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.1635635,mean_zh_valid_scores,0.66654856,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.46514000;0.43069500;0.44336900;0.44889200;0.43138600;0.45887700;0.44177200;0.44963800;0.43726300;0.44174900,0.4448781,0.01109647,0.430695,0.46514,0.72813300;0.70813300;0.71853300;0.71293300;0.71453300;0.73213300;0.71133300;0.73000000;0.70626700;0.71746700,0.7179465,0.00921426,0.706267,0.732133,0.45586200;0.42161700;0.43398900;0.43994000;0.42245800;0.44931300;0.43245400;0.44007400;0.42778300;0.43221100,0.4355701,0.01100888,0.421617,0.455862,0.449636,0.31588563,0.61576177,0.31704195,0.61742507,0.724133,0.62737617,0.81901655,0.62664485,0.81969418,0.440482,0.29888873,0.60011295,0.30056855,0.60300113,0.725,0.64893482,0.79593762,0.65150917,0.79888448,0.69,0.60366035,0.77402638,0.60904765,0.77823208,0.529915,0.4,0.638655,0.403846,0.645161,0.462687,0.3260517,0.59018262,0.32556648,0.596774,0.62,0.471698,0.76366275,0.483871,0.770833,0.76,0.67784118,0.834532,0.6753913,0.836066,31,19.0,45.0,19.0,46.0,114,90.0,143.0,90.0,143.0,36,24.0,49.0,24.0,50.0,19,10.0,31.0,9.0,30.0
step15_v6_m5_lambda_0p1,m3_plus_auxiliary_evidence_head_candidate,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.651114,mean_zh_valid_scores,0.65280628,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.55107100;0.51918100;0.61663300;0.54185400;0.57829800;0.55563500;0.58147000;0.55741100;0.62329200;0.54561200,0.5670457,0.03303281,0.519181,0.623292,0.79146700;0.75840000;0.83213300;0.77760000;0.79906700;0.77573300;0.79493300;0.78586700;0.83880000;0.77960000,0.79336,0.02501897,0.7584,0.8388,0.54356000;0.51304500;0.61265400;0.53637300;0.57241500;0.54988500;0.57592400;0.55095500;0.61928300;0.53989700,0.5613991,0.03382403,0.513045,0.619283,0.583457,0.4359803,0.73483172,0.4306852,0.73627413,0.8016,0.72223335,0.87431222,0.71900102,0.87532698,0.578627,0.4234679,0.72912817,0.41694398,0.73064945,0.775,0.705584,0.8433288,0.70873255,0.84925837,0.623333,0.55738935,0.69416132,0.5617663,0.71733932,0.415584,0.275862,0.54737427,0.28880963,0.588235,0.592593,0.371429,0.826087,0.375,0.827586,0.32,0.2,0.452381,0.208333,0.50019842,0.926667,0.865772,0.974359,0.86028665,0.972973,16,9.0,24.0,9.0,27.0,139,113.0,170.0,112.0,169.0,11,4.0,20.0,4.0,21.0,34,20.0,50.0,19.0,49.0
step15_v6_m5_selected,validation_selected_auxiliary_evidence_head,step15_v6_m5_lambda_0p1,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.651114,mean_zh_valid_scores,0.65280628,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.55107100;0.51918100;0.61663300;0.54185400;0.57829800;0.55563500;0.58147000;0.55741100;0.62329200;0.54561200,0.5670457,0.03303281,0.519181,0.623292,0.79146700;0.75840000;0.83213300;0.77760000;0.79906700;0.77573300;0.79493300;0.78586700;0.83880000;0.77960000,0.79336,0.02501897,0.7584,0.8388,0.54356000;0.51304500;0.61265400;0.53637300;0.57241500;0.54988500;0.57592400;0.55095500;0.61928300;0.53989700,0.5613991,0.03382403,0.513045,0.619283,0.583457,0.4359803,0.73483172,0.4306852,0.73627413,0.8016,0.72223335,0.87431222,0.71900102,0.87532698,0.578627,0.4234679,0.72912817,0.41694398,0.73064945,0.775,0.705584,0.8433288,0.70873255,0.84925837,0.623333,0.55738935,0.69416132,0.5617663,0.71733932,0.415584,0.275862,0.54737427,0.28880963,0.588235,0.592593,0.371429,0.826087,0.375,0.827586,0.32,0.2,0.452381,0.208333,0.50019842,0.926667,0.865772,0.974359,0.86028665,0.972973,16,9.0,24.0,9.0,27.0,139,113.0,170.0,112.0,169.0,11,4.0,20.0,4.0,21.0,34,20.0,50.0,19.0,49.0
step15_v6_final_selected,validation_only_selected_final_clean_v6_candidate,step15_v6_m4,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.208206,mean_zh_valid_scores,0.65813929,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.54032500;0.59682800;0.58554900;0.54825000;0.56378000;0.54207500;0.58580300;0.56652500;0.56413400;0.56811600,0.5661385,0.01910303,0.540325,0.596828,0.75560000;0.78853300;0.77346700;0.76920000;0.77866700;0.76666700;0.78173300;0.79093300;0.78573300;0.79973300,0.7790266,0.01309094,0.7556,0.799733,0.53154100;0.59221100;0.58080900;0.54106900;0.55765700;0.53328700;0.58073000;0.55931400;0.55710900;0.56252000,0.5596247,0.02055193,0.531541,0.592211,0.577943,0.4266281,0.73839582,0.42101225,0.73671052,0.7848,0.6985181,0.86437752,0.69660058,0.86295943,0.571975,0.40843285,0.73343202,0.4012931,0.7308596,0.715,0.64203865,0.78757285,0.64651083,0.79397,0.69,0.6123638,0.76875725,0.61570313,0.77319483,0.528926,0.404255,0.63354307,0.412371,0.6428695,0.450704,0.32074895,0.5762873,0.32499188,0.590909,0.64,0.5,0.77051542,0.510204,0.777778,0.74,0.6490032,0.82099902,0.65516595,0.82946887,32,20.0,46.0,20.0,46.0,111,87.0,140.0,87.0,141.0,39,26.0,54.0,25.0,53.0,18,9.0,28.0,9.0,28.0
step9_strongest_clean_validation_selected,strongest_clean_step9_selected_on_zh_valid_only,step9_e5_lr_l2_100pct_seed_mean,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.557593,mean_zh_valid_scores,0.62500603,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300,0.575633,0.0,0.575633,0.575633,0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700,0.765467,0.0,0.765467,0.765467,0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100,0.571561,0.0,0.571561,0.571561,0.575633,0.42670933,0.72015655,0.42670933,0.72015655,0.765467,0.66577313,0.84908675,0.66577313,0.84908675,0.571561,0.41691388,0.71463972,0.41691388,0.71463972,0.785,0.7151859,0.85492395,0.7151859,0.85492395,0.61,0.54619925,0.68379017,0.54619925,0.68379017,0.376812,0.222222,0.53168817,0.222222,0.53168817,0.684211,0.411765,0.9445171,0.411765,0.9445171,0.26,0.142857,0.4,0.142857,0.4,0.96,0.907143,0.993902,0.907143,0.993902,13,6.0,21.0,6.0,21.0,144,118.0,175.0,118.0,175.0,6,1.0,14.0,1.0,14.0,37,22.0,54.0,22.0,54.0
