slice_name,model_id,row_count,positive_count,negative_count,prevalence,unstable_slice,bootstrap_mode,valid_bootstrap_resamples,valid_two_level_bootstrap_resamples,metric_semantics_version,pr_auc_definition,roc_auc,average_precision,average_precision_prevalence_lift,pr_auc,accuracy,balanced_accuracy,f1,precision,recall,roc_auc_ci_low,roc_auc_ci_high,roc_auc_two_level_ci_low,roc_auc_two_level_ci_high,average_precision_ci_low,average_precision_ci_high,average_precision_two_level_ci_low,average_precision_two_level_ci_high,pr_auc_ci_low,pr_auc_ci_high,pr_auc_two_level_ci_low,pr_auc_two_level_ci_high,average_precision_prevalence_lift_ci_low,average_precision_prevalence_lift_ci_high,average_precision_prevalence_lift_two_level_ci_low,average_precision_prevalence_lift_two_level_ci_high
all_test,step15_v6_m0,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.839067,0.623361,2.493444,0.619269,0.78,0.586667,0.3125,0.714286,0.2,0.76572668,0.90549855,0.76523905,0.90598042,0.47538953,0.77349408,0.47521665,0.7737678,0.46400385,0.76811145,0.46345535,0.76776977,1.94124077,3.48591883,1.93673341,3.48088214
all_test,step15_v6_m1,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.781467,0.587261,2.349044,0.582196,0.71,0.68,0.516667,0.442857,0.62,0.6997072,0.85582742,0.69855745,0.85672722,0.43471775,0.73495112,0.4382704,0.73464362,0.42106275,0.73035037,0.4236261,0.72986117,1.81991556,3.32381562,1.81738435,3.31290305
all_test,step15_v6_m2,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.791333,0.598599,2.394396,0.593361,0.785,0.683333,0.527473,0.585366,0.48,0.70796315,0.8646006,0.70653208,0.86574515,0.45088425,0.7416112,0.45047855,0.7401668,0.4340914,0.73603248,0.43377485,0.73495357,1.8617602,3.35465506,1.86020451,3.35533957
all_test,step15_v6_m2b_matched_budget,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.791333,0.602101,2.408404,0.597639,0.76,0.706667,0.555556,0.517241,0.6,0.71030353,0.8634287,0.71014188,0.86483742,0.4536038,0.73954332,0.45499558,0.74095307,0.4400404,0.73520085,0.439544,0.73607437,1.88160446,3.38164136,1.88055212,3.38884681
all_test,step15_v6_m3,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.795467,0.594897,2.379588,0.59026,0.78,0.7,0.55102,0.5625,0.54,0.7120027,0.86794267,0.70848318,0.86946762,0.44388678,0.7400542,0.43875398,0.73907732,0.42983205,0.73600242,0.42473943,0.73349792,1.84573177,3.38326687,1.8273674,3.34081745
all_test,step15_v6_m4,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.7848,0.577943,2.311772,0.571975,0.715,0.69,0.528926,0.450704,0.64,0.69822203,0.8622082,0.69481485,0.86069335,0.42167645,0.73613415,0.41435648,0.729774,0.40211788,0.73133882,0.3958043,0.7250085,1.76876428,3.26737161,1.75049292,3.24344338
all_test,step15_v6_m4c_no_mixup_continuation,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.784267,0.584196,2.336784,0.57917,0.755,0.69,0.533333,0.509091,0.56,0.69862965,0.86098042,0.6951859,0.86111597,0.43064753,0.73327577,0.42289335,0.7315027,0.41741518,0.72897825,0.40837905,0.72561935,1.79861184,3.31521184,1.78113327,3.26339178
all_test,step15_v6_m3_normalized_retrieval,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.8036,0.597533,2.390132,0.592168,0.765,0.69,0.534653,0.529412,0.54,0.7215066,0.87361132,0.71996055,0.87412535,0.4481812,0.74418905,0.44437548,0.74319845,0.4316913,0.7389767,0.42852815,0.7371983,1.86212785,3.32812612,1.85427129,3.3116107
all_test,step15_v6_m3_gold_only,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.762267,0.529862,2.119448,0.522539,0.765,0.623333,0.419753,0.548387,0.34,0.68252972,0.8410314,0.67182253,0.83693525,0.39255285,0.67358937,0.3852503,0.66895037,0.37387265,0.6653659,0.36606118,0.66151192,1.6595661,3.0016364,1.62614924,2.96059048
all_test,step15_v6_m3_gold_plus_high_confidence_silver,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.724133,0.449636,1.798544,0.440482,0.725,0.69,0.529915,0.462687,0.62,0.62539007,0.81742997,0.62441643,0.81817987,0.32215258,0.61519128,0.3212859,0.6170228,0.30259878,0.60029517,0.30446998,0.60282015,1.38854103,2.58101486,1.38665782,2.60573928
all_test,step15_v6_m5_lambda_0p1,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.8016,0.583457,2.333828,0.578627,0.775,0.623333,0.415584,0.592593,0.32,0.72125737,0.87204847,0.71646113,0.87269115,0.4340315,0.73199492,0.42574605,0.73154582,0.4207749,0.7262698,0.41191365,0.72571405,1.81024815,3.2590179,1.789809,3.26388348
all_test,step15_v6_m5_selected,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.8016,0.583457,2.333828,0.578627,0.775,0.623333,0.415584,0.592593,0.32,0.72125737,0.87204847,0.71646113,0.87269115,0.4340315,0.73199492,0.42574605,0.73154582,0.4207749,0.7262698,0.41191365,0.72571405,1.81024815,3.2590179,1.789809,3.26388348
all_test,step15_v6_final_selected,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.7848,0.577943,2.311772,0.571975,0.715,0.69,0.528926,0.450704,0.64,0.69822203,0.8622082,0.69481485,0.86069335,0.42167645,0.73613415,0.41435648,0.729774,0.40211788,0.73133882,0.3958043,0.7250085,1.76876428,3.26737161,1.75049292,3.24344338
all_test,step9_strongest_clean_validation_selected,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.765467,0.575633,2.302532,0.571561,0.785,0.61,0.376812,0.684211,0.26,0.66742387,0.84869155,0.66742387,0.84869155,0.42836783,0.71720042,0.42836783,0.71720042,0.41765035,0.7120439,0.41765035,0.7120439,1.7856086,3.2161312,1.7856086,3.2161312
strict_direct_or_component_positive_vs_all_negative,raw_e5_cosine,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.712593,0.306044,2.85641067,0.289619,0.821429,0.631111,0.318182,0.269231,0.388889,0.5707068,0.84825162,0.5707068,0.84825162,0.14225303,0.52526447,0.14225303,0.52526447,0.11676628,0.5063932,0.11676628,0.5063932,1.54578144,6.33261685,1.54578144,6.33261685
strict_direct_or_component_positive_vs_all_negative,raw_labse_cosine,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.78963,0.347201,3.24054267,0.330087,0.827381,0.61,0.292683,0.26087,0.333333,0.68322797,0.88580817,0.68322797,0.88580817,0.17001505,0.58354827,0.17001505,0.58354827,0.14028315,0.56301252,0.14028315,0.56301252,1.89212497,6.73822294,1.89212497,6.73822294
strict_direct_or_component_positive_vs_all_negative,raw_bge_m3_cosine,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.637778,0.281432,2.62669867,0.265886,0.863095,0.63,0.342857,0.352941,0.333333,0.50788838,0.78707345,0.50788838,0.78707345,0.1235736,0.51781908,0.1235736,0.51781908,0.10032555,0.49776462,0.10032555,0.49776462,1.35282773,6.2203793,1.35282773,6.2203793
strict_direct_or_component_positive_vs_all_negative,step9_labse_lr_l2_100pct_seed_mean,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.764074,0.353584,3.30011733,0.342124,0.744048,0.661111,0.31746,0.222222,0.555556,0.63828768,0.87000492,0.63828768,0.87000492,0.1614604,0.58190807,0.1614604,0.58190807,0.13350513,0.56779325,0.13350513,0.56779325,1.79774124,6.66185565,1.79774124,6.66185565
strict_direct_or_component_positive_vs_all_negative,step9_e5_lr_l2_100pct_seed_mean,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.705926,0.356273,3.32521467,0.347376,0.880952,0.591111,0.285714,0.4,0.222222,0.5524539,0.84910655,0.5524539,0.84910655,0.1663527,0.57932482,0.1663527,0.57932482,0.14032022,0.5689987,0.14032022,0.5689987,1.66142015,7.00129242,1.66142015,7.00129242
strict_direct_or_component_positive_vs_all_negative,step9_bge_m3_residual_lr_100pct_seed_mean,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.772593,0.338519,3.15951067,0.326723,0.845238,0.62,0.315789,0.3,0.333333,0.64275503,0.8882666,0.64275503,0.8882666,0.15989123,0.56312207,0.15989123,0.56312207,0.13445295,0.54468825,0.13445295,0.54468825,1.74867692,6.61516821,1.74867692,6.61516821
strict_direct_or_component_positive_vs_all_negative,step9_e5_mixup_100pct_seed_mean,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.693333,0.312295,2.91475333,0.301073,0.696429,0.61,0.26087,0.176471,0.5,0.53163685,0.84232232,0.5315619,0.8441815,0.12257085,0.53425628,0.1237339,0.53635297,0.10087358,0.5154372,0.1028142,0.51587307,1.44037899,5.93342222,1.43535663,6.00942768
strict_direct_or_component_positive_vs_all_negative,step9_identifier_operational_100pct_seed_mean,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.982963,0.945785,8.82732667,0.945093,0.946429,0.945556,0.790698,0.68,0.944444,0.94654238,1.0,0.94654238,1.0,0.82563617,1.0,0.82563617,1.0,0.82032675,1.0,0.82032675,1.0,6.00844902,16.50035732,6.00844902,16.50035732
strict_direct_or_component_positive_vs_all_negative,step15_v6_source_only_lr_l2,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.697778,0.309514,2.88879733,0.293367,0.833333,0.588889,0.263158,0.25,0.277778,0.56508655,0.82848153,0.56684935,0.8289526,0.13408978,0.55495177,0.13408978,0.55400502,0.10914355,0.5396625,0.10989,0.53924597,1.50273465,6.35961558,1.50633157,6.35340644
strict_direct_or_component_positive_vs_all_negative,step7_source_only_default_fusion,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.67463,0.206473,1.92708133,0.280741,0.541667,0.67,0.280374,0.168539,0.833333,0.5277332,0.79846927,0.5277332,0.79846927,0.09571855,0.40032162,0.09571855,0.40032162,0.1191528,0.48733235,0.1191528,0.48733235,1.17524523,4.08415346,1.17524523,4.08415346
strict_direct_or_component_positive_vs_all_negative,step15_v6_m0,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.824444,0.437741,4.08558267,0.429409,0.892857,0.597778,0.307692,0.5,0.222222,0.73271473,0.91576,0.73194318,0.91604222,0.23455703,0.66566495,0.23593608,0.6660304,0.2133751,0.65539595,0.2140179,0.6553447,2.33721261,8.34029693,2.33454479,8.35956512
strict_direct_or_component_positive_vs_all_negative,step15_v6_m1,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.728148,0.344943,3.219468,0.33344,0.714286,0.62,0.272727,0.1875,0.5,0.59866942,0.8441919,0.59877887,0.84616427,0.1534351,0.56784122,0.15797435,0.57627387,0.12387515,0.5547873,0.13067285,0.56411912,1.72649222,6.77350816,1.75190427,6.86415
strict_direct_or_component_positive_vs_all_negative,step15_v6_m2,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.737407,0.326193,3.044468,0.310127,0.827381,0.61,0.292683,0.26087,0.333333,0.60705048,0.84774017,0.600811,0.8497062,0.14451975,0.55441257,0.14191823,0.55114275,0.11616475,0.54051617,0.11442753,0.53726302,1.69979088,6.30494021,1.64776191,6.27538712
strict_direct_or_component_positive_vs_all_negative,step15_v6_m2b_matched_budget,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.741111,0.339405,3.16778,0.328225,0.77381,0.628889,0.296296,0.222222,0.444444,0.61792848,0.84832113,0.61306777,0.85074847,0.149392,0.55479742,0.14816355,0.55845532,0.12342108,0.5415671,0.12272353,0.5438403,1.71643856,6.62362663,1.7045804,6.55090803
strict_direct_or_component_positive_vs_all_negative,step15_v6_m3,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.75,0.346362,3.232712,0.334942,0.809524,0.624444,0.304348,0.25,0.388889,0.62436673,0.85664345,0.6067901,0.85779127,0.15353265,0.56531355,0.15044603,0.56178655,0.12801567,0.55119602,0.1250322,0.54950475,1.75180445,6.61882445,1.71919807,6.4697672
strict_direct_or_component_positive_vs_all_negative,step15_v6_m4,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.730741,0.311649,2.908724,0.295117,0.720238,0.647778,0.298507,0.204082,0.555556,0.58840883,0.84704747,0.58409193,0.84540733,0.13820723,0.5439714,0.13321745,0.53845207,0.111582,0.5260866,0.10787208,0.5218485,1.6278633,6.06657037,1.57132576,5.97538976
strict_direct_or_component_positive_vs_all_negative,step15_v6_m4c_no_mixup_continuation,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.730741,0.32917,3.07225333,0.317316,0.779762,0.632222,0.301887,0.228571,0.444444,0.5918096,0.84555765,0.58620218,0.84489857,0.14090743,0.55563072,0.14075163,0.54925605,0.11511228,0.53956862,0.11510603,0.53664657,1.66297099,6.25865458,1.64800629,6.1789558
strict_direct_or_component_positive_vs_all_negative,step15_v6_m3_normalized_retrieval,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.805926,0.402586,3.75746933,0.389723,0.803571,0.67,0.352941,0.272727,0.5,0.68382058,0.9064823,0.6716372,0.90570672,0.20026513,0.63409122,0.19536145,0.63655087,0.16759838,0.62231847,0.16801978,0.6236504,2.2156606,7.41009013,2.17454456,7.52060155
strict_direct_or_component_positive_vs_all_negative,step15_v6_m3_gold_only,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.745185,0.292105,2.72631333,0.265556,0.85119,0.647778,0.358974,0.333333,0.388889,0.61581477,0.86825712,0.60459293,0.86214732,0.14835808,0.53830252,0.14800078,0.5351936,0.12021473,0.49089602,0.11854242,0.49928077,1.74148004,5.55858196,1.68542428,5.65805904
strict_direct_or_component_positive_vs_all_negative,step15_v6_m3_gold_plus_high_confidence_silver,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.672222,0.191071,1.78332933,0.172933,0.738095,0.657778,0.3125,0.217391,0.555556,0.5204399,0.7948626,0.52220915,0.79579307,0.09830053,0.3773952,0.09970097,0.3914668,0.079268,0.32619635,0.08035145,0.34335255,1.23953432,3.65941382,1.24382401,3.82650468
strict_direct_or_component_positive_vs_all_negative,step15_v6_m5_lambda_0p1,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.764444,0.353484,3.299184,0.344847,0.845238,0.546667,0.1875,0.214286,0.166667,0.6524743,0.86296987,0.64409698,0.86042652,0.16572715,0.55830847,0.15499983,0.5521011,0.14269783,0.54722145,0.13191448,0.53934562,1.80490674,6.8171101,1.73840905,6.52314147
strict_direct_or_component_positive_vs_all_negative,step15_v6_m5_selected,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.764444,0.353484,3.299184,0.344847,0.845238,0.546667,0.1875,0.214286,0.166667,0.6524743,0.86296987,0.64409698,0.86042652,0.16572715,0.55830847,0.15499983,0.5521011,0.14269783,0.54722145,0.13191448,0.53934562,1.80490674,6.8171101,1.73840905,6.52314147
strict_direct_or_component_positive_vs_all_negative,step15_v6_final_selected,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.730741,0.311649,2.908724,0.295117,0.720238,0.647778,0.298507,0.204082,0.555556,0.58840883,0.84704747,0.58409193,0.84540733,0.13820723,0.5439714,0.13321745,0.53845207,0.111582,0.5260866,0.10787208,0.5218485,1.6278633,6.06657037,1.57132576,5.97538976
strict_direct_or_component_positive_vs_all_negative,step9_strongest_clean_validation_selected,168,18,150,0.10714286,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.705926,0.356273,3.32521467,0.347376,0.880952,0.591111,0.285714,0.4,0.222222,0.5524539,0.84910655,0.5524539,0.84910655,0.1663527,0.57932482,0.1663527,0.57932482,0.14032022,0.5689987,0.14032022,0.5689987,1.66142015,7.00129242,1.66142015,7.00129242
strict_plus_soft_primary_positive_vs_all_negative,raw_e5_cosine,174,24,150,0.13793103,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.765,0.426188,3.089863,0.414598,0.821839,0.686667,0.436364,0.387097,0.5,0.61816863,0.8746183,0.61816863,0.8746183,0.20799438,0.61593247,0.20799438,0.61593247,0.18165798,0.59965753,0.18165798,0.59965753,1.91942587,5.42537067,1.91942587,5.42537067
strict_plus_soft_primary_positive_vs_all_negative,raw_labse_cosine,174,24,150,0.13793103,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.820833,0.484749,3.51443025,0.475133,0.827586,0.6725,0.423077,0.392857,0.458333,0.73243742,0.89971095,0.73243742,0.89971095,0.29054175,0.66370897,0.29054175,0.66370897,0.26117728,0.65141003,0.26117728,0.65141003,2.39846703,6.3260633,2.39846703,6.3260633
